,alpha_m,theta,sigma_eta_m,llf,beta_growth,beta_reported_growth,beta_term,beta_reported_term,beta_inflation,beta_reported_inflation,beta_credit,beta_reported_credit
2012-03-31,0.0100596,0.14103,0.0280289,40.4408,0.583467,0.501181,-0.0478876,-0.041134,0.508745,0.436997,-0.185806,-0.159602
2012-06-30,0.00934673,0.158044,0.0285131,42.2682,0.565143,0.475826,-0.025589,-0.0215448,0.535351,0.450742,-0.166483,-0.140171
2012-09-30,0.00917314,0.153039,0.0278613,44.4593,0.572901,0.485225,-0.0461064,-0.0390503,0.51953,0.440022,-0.184526,-0.156286
2012-12-31,0.00905744,0.16251,0.0277119,46.6698,0.570378,0.477686,-0.0655789,-0.0549217,0.518853,0.434534,-0.187727,-0.15722
2013-03-31,0.00925143,0.164182,0.0272689,48.9539,0.568876,0.475477,-0.077528,-0.0647993,0.513477,0.429174,-0.183439,-0.153322
2013-06-30,0.00869539,0.162889,0.0269275,51.0765,0.55332,0.46319,-0.0316667,-0.0265085,0.550028,0.460434,-0.154081,-0.128982
2013-09-30,0.00757713,0.149489,0.0261973,53.2374,0.560994,0.477132,0.132856,0.112996,0.667042,0.567327,-0.167031,-0.142062
2013-12-31,0.00735704,0.163256,0.0263217,55.4207,0.545354,0.456322,0.131259,0.10983,0.677137,0.56659,-0.129931,-0.108719
2014-03-31,0.00813354,0.167033,0.0264391,57.2703,0.547827,0.456322,0.0542507,0.045189,0.609537,0.507724,-0.110211,-0.0918019
2014-06-30,0.00808504,0.164963,0.0259624,59.6205,0.54869,0.458176,0.0530756,0.0443201,0.607637,0.507399,-0.1147,-0.0957784
2014-09-30,0.00802871,0.166951,0.0256654,61.942,0.544941,0.453963,0.0343507,0.0286159,0.592909,0.493923,-0.10775,-0.0897615
2014-12-31,0.00854691,0.175037,0.0257098,64.0919,0.537023,0.443024,-0.0138107,-0.0113934,0.556322,0.458945,-0.0891213,-0.0735218
2015-03-31,0.00879956,0.172896,0.0254845,66.1942,0.544657,0.450488,-0.0148896,-0.0123152,0.528616,0.437221,-0.0960283,-0.0794254
2015-06-30,0.00885725,0.173151,0.025148,68.5752,0.545259,0.450847,-0.0120926,-0.00999873,0.52814,0.436692,-0.094472,-0.078114
2015-09-30,0.00920615,0.177443,0.0250001,70.8909,0.542628,0.446342,-0.0429493,-0.0353283,0.530042,0.43599,-0.103768,-0.085355
2015-12-31,0.00882568,0.165506,0.024435,73.1281,0.561701,0.468736,-0.0165346,-0.013798,0.549392,0.458464,-0.146758,-0.122469
2016-03-31,0.00918743,0.145309,0.0237996,75.1474,0.567344,0.484904,-0.0369561,-0.031586,0.521535,0.445751,-0.172106,-0.147098
2016-06-30,0.00901966,0.137343,0.0236359,76.9794,0.566973,0.489103,-0.100793,-0.0869498,0.465923,0.401931,-0.179884,-0.155179
2016-09-30,0.00900557,0.137989,0.0233647,79.4077,0.567364,0.489074,-0.102521,-0.0883743,0.466472,0.402104,-0.181571,-0.156516
2016-12-31,0.00879009,0.13997,0.0232371,81.6711,0.566685,0.487366,-0.0988901,-0.0850484,0.463319,0.398468,-0.180284,-0.155049
2017-03-31,0.00791972,0.125599,0.0229077,83.517,0.587762,0.51394,-0.00164766,-0.00144072,0.463972,0.405698,-0.19677,-0.172056
2017-06-30,0.00791746,0.125725,0.0226491,85.965,0.587567,0.513695,-0.00176999,-0.00154746,0.463998,0.405662,-0.196346,-0.17166
2017-09-30,0.00795433,0.126301,0.0224155,88.4149,0.588622,0.514279,-0.00371716,-0.00324768,0.459483,0.401449,-0.195156,-0.170508
2017-12-31,0.0079561,0.12631,0.0221708,90.8852,0.588672,0.514317,-0.00373917,-0.00326688,0.459481,0.401444,-0.195219,-0.170561
2018-03-31,0.00795877,0.126339,0.0219344,93.3663,0.588751,0.514368,-0.00376931,-0.0032931,0.459627,0.401558,-0.195407,-0.17072
2018-06-30,0.007835,0.12334,0.0216455,95.8247,0.589641,0.516915,0.00708321,0.00620957,0.457121,0.40074,-0.191331,-0.167732
2018-09-30,0.00790664,0.123108,0.0214291,98.3004,0.589734,0.517134,0.00527062,0.00462176,0.460373,0.403697,-0.196073,-0.171935
2018-12-31,0.0075959,0.120622,0.0213654,100.314,0.589402,0.518307,0.0304602,0.0267861,0.482926,0.424674,-0.207082,-0.182103
2019-03-31,0.00822583,0.130701,0.0220108,101.39,0.54412,0.473003,0.0107503,0.00934525,0.466938,0.405909,-0.14013,-0.121815
2019-06-30,0.0082289,0.141923,0.0221956,103.619,0.531789,0.456316,-0.0229259,-0.0196722,0.467074,0.400785,-0.13211,-0.11336
2019-09-30,0.00817163,0.141167,0.0220485,105.918,0.529984,0.455168,-0.0440319,-0.0378161,0.461996,0.396778,-0.141301,-0.121354
2019-12-31,0.00814651,0.141489,0.0218552,108.412,0.530431,0.45538,-0.0455002,-0.0390624,0.462643,0.397184,-0.142983,-0.122753
2020-03-31,0.0079617,0.146378,0.021909,110.598,0.524426,0.447661,-0.0407911,-0.0348202,0.463372,0.395545,-0.132545,-0.113144
2020-06-30,0.0081602,0.149262,0.0220032,112.559,0.533849,0.454166,-0.0202137,-0.0171966,0.494211,0.420444,-0.23084,-0.196384
2020-09-30,0.00815522,0.14315,0.0216705,115.029,0.53279,0.456521,-0.00486798,-0.00417113,0.493794,0.423107,-0.216764,-0.185734
2020-12-31,0.00822759,0.147425,0.0216215,117.469,0.53657,0.457466,0.00108193,0.000922422,0.510187,0.434972,-0.22292,-0.190056
2021-03-31,0.00854265,0.161044,0.0223949,118.37,0.56558,0.474497,-0.00335717,-0.00281652,0.529414,0.444155,-0.250103,-0.209826
2021-06-30,0.00797687,0.132922,0.0217259,120.218,0.562439,0.487679,0.062667,0.0543371,0.504277,0.437248,-0.232919,-0.201959
2021-09-30,0.00800995,0.132212,0.0215789,122.586,0.568189,0.493068,0.0775617,0.0673071,0.515754,0.447565,-0.242613,-0.210537
2021-12-31,0.00761832,0.116496,0.0214151,123.955,0.581104,0.513408,0.0733078,0.0647678,0.464384,0.410285,-0.256631,-0.226735
2022-03-31,0.00748089,0.129504,0.0217259,125.981,0.567887,0.494343,0.0637143,0.055463,0.443533,0.386094,-0.203962,-0.177548
2022-06-30,0.00677157,0.126213,0.021764,127.627,0.587764,0.51358,0.14966,0.130771,0.441263,0.38557,-0.192363,-0.168084
2022-09-30,0.00782853,0.121338,0.0220793,128.325,0.533089,0.468405,0.00978469,0.00859744,0.351985,0.309276,-0.131898,-0.115894
2022-12-31,0.00752743,0.121634,0.0220078,130.535,0.544061,0.477885,0.0531788,0.0467105,0.38176,0.335325,-0.149799,-0.131579
2023-03-31,0.00732248,0.139996,0.0225959,132.161,0.539226,0.463737,0.0418953,0.0360301,0.387332,0.333107,-0.140062,-0.120454
2023-06-30,0.00720266,0.147276,0.0228519,133.946,0.528025,0.45026,0.015627,0.0133255,0.372547,0.31768,-0.113205,-0.096533
2023-09-30,0.00684663,0.153692,0.0232758,135.169,0.512631,0.433844,0.0597596,0.050575,0.422735,0.357763,-0.089459,-0.0757098
2023-12-31,0.00682947,0.153763,0.0231114,137.63,0.513343,0.43441,0.0614062,0.0519642,0.423255,0.358174,-0.0904652,-0.076555
2024-03-31,0.00677689,0.161564,0.0233434,139.544,0.506902,0.425005,0.0220025,0.0184477,0.422903,0.354577,-0.0957009,-0.0802391
2024-06-30,0.00639262,0.170219,0.0241122,139.924,0.47839,0.396959,0.05752,0.047729,0.449032,0.372598,-0.0313176,-0.0259868
2024-09-30,0.00624418,0.175605,0.0241868,142.117,0.477657,0.393778,0.0590493,0.0486799,0.446329,0.367951,-0.0205154,-0.0169128
2024-12-31,0.00622849,0.176907,0.0240672,144.548,0.476376,0.392101,0.053227,0.0438108,0.444972,0.366253,-0.0182626,-0.0150318
2025-03-31,0.00600134,0.173959,0.0239122,146.717,0.482513,0.398576,0.077077,0.0636687,0.455346,0.376134,-0.0332805,-0.0274911
2025-06-30,0.00601374,0.173558,0.0237439,149.174,0.481887,0.398252,0.0796487,0.065825,0.458751,0.379131,-0.0338176,-0.0279483
2025-09-30,0.00594209,0.177401,0.0237576,151.451,0.46937,0.386103,0.0871706,0.0717064,0.478843,0.393896,-0.0137495,-0.0113103
2025-12-31,0.00588201,0.177705,0.023651,153.797,0.465279,0.382597,0.0840783,0.0691371,0.477217,0.392413,-0.00714397,-0.00587445
2026-03-31,0.00586778,0.17765,0.0235004,156.268,0.464829,0.382252,0.0846341,0.0695989,0.478528,0.393518,-0.00680508,-0.00559616
