,alpha_m,theta,sigma_eta_m,llf,beta_growth,beta_reported_growth,beta_term,beta_reported_term,beta_inflation,beta_reported_inflation,beta_credit,beta_reported_credit
2012-03-31,0.00720786,0.235677,0.0248435,45.9006,0.734556,0.561438,0.225042,0.172005,0.776534,0.593522,-0.617918,-0.472289
2012-06-30,0.00669446,0.237553,0.0245918,48.1997,0.725573,0.553211,0.250189,0.190756,0.792664,0.604364,-0.613538,-0.46779
2012-09-30,0.00665882,0.235744,0.0240436,50.7124,0.726963,0.555586,0.244458,0.186828,0.78761,0.601936,-0.617667,-0.472056
2012-12-31,0.00654794,0.238801,0.023705,53.2138,0.726773,0.553219,0.239137,0.182031,0.789099,0.600661,-0.622615,-0.473934
2013-03-31,0.00672602,0.240231,0.0233286,55.7435,0.72577,0.551418,0.229115,0.174075,0.784837,0.596295,-0.619111,-0.470381
2013-06-30,0.00607898,0.241832,0.0232753,57.9311,0.70714,0.53613,0.281494,0.21342,0.830074,0.629335,-0.581997,-0.441251
2013-09-30,0.00772123,0.251869,0.0236135,59.9682,0.699802,0.523543,0.0398743,0.0298312,0.647058,0.484084,-0.574125,-0.42952
2013-12-31,0.00756467,0.254195,0.0233414,62.4772,0.692134,0.516197,0.0429045,0.0319984,0.649647,0.48451,-0.557834,-0.416035
2014-03-31,0.00787008,0.257728,0.0231452,64.9686,0.693755,0.514955,0.0125033,0.00928087,0.625272,0.464121,-0.549564,-0.407925
2014-06-30,0.00786173,0.257417,0.0227713,67.5721,0.693838,0.515232,0.0120854,0.00897444,0.624874,0.464021,-0.550292,-0.408638
2014-09-30,0.00782637,0.258157,0.0224597,70.1713,0.691967,0.513331,0.00213604,0.00158461,0.616599,0.45742,-0.5469,-0.405714
2014-12-31,0.00746114,0.252634,0.0220756,72.6321,0.696371,0.520444,0.035432,0.0264807,0.642589,0.48025,-0.558629,-0.417501
2015-03-31,0.00760565,0.245819,0.0216451,75.1399,0.699547,0.527585,0.0358024,0.0270015,0.621077,0.468405,-0.564453,-0.4257
2015-06-30,0.00745694,0.247602,0.0214962,77.6205,0.69818,0.525309,0.0272548,0.0205064,0.624274,0.469702,-0.567438,-0.426939
2015-09-30,0.00804191,0.245796,0.0213983,79.8568,0.693847,0.523302,-0.0221772,-0.0167261,0.621671,0.468867,-0.590697,-0.445506
2015-12-31,0.00858378,0.263996,0.021953,81.9707,0.669376,0.492664,-0.056752,-0.0417697,0.597123,0.439485,-0.531847,-0.391442
2016-03-31,0.00828818,0.269953,0.02198,84.397,0.666706,0.486727,-0.0355664,-0.0259652,0.612998,0.447517,-0.520095,-0.379693
2016-06-30,0.00828424,0.270041,0.0217065,87.0666,0.666716,0.486675,-0.0378441,-0.0276246,0.611435,0.446323,-0.520189,-0.379716
2016-09-30,0.00834719,0.270003,0.0214589,89.7115,0.665295,0.485663,-0.0334303,-0.0244041,0.610545,0.445697,-0.512808,-0.374349
2016-12-31,0.00826708,0.27017,0.0212206,92.3782,0.665083,0.485397,-0.0316137,-0.0230726,0.60923,0.444634,-0.512663,-0.374157
2017-03-31,0.00789433,0.264617,0.0208838,94.9398,0.673391,0.4952,0.00869656,0.0063953,0.607372,0.446651,-0.518535,-0.381322
2017-06-30,0.00777737,0.267379,0.0207968,97.4969,0.664731,0.486996,0.00586223,0.00429479,0.608356,0.445694,-0.500907,-0.366975
2017-09-30,0.00802759,0.268555,0.0208522,99.6652,0.672163,0.49165,-0.00583181,-0.00426565,0.57548,0.420932,-0.49392,-0.361275
2017-12-31,0.007891,0.265317,0.0205992,102.238,0.667577,0.490458,-0.00392516,-0.00288375,0.572994,0.420969,-0.48977,-0.359825
2018-03-31,0.00785072,0.26522,0.0203816,104.954,0.666369,0.489634,-0.00368981,-0.0027112,0.570871,0.419465,-0.486691,-0.357611
2018-06-30,0.00775043,0.263488,0.0201325,107.664,0.666905,0.491184,0.00449632,0.00331159,0.568441,0.418664,-0.482627,-0.355461
