,alpha_m,theta,sigma_eta_m,llf,beta_growth,beta_reported_growth,beta_term,beta_reported_term,beta_inflation,beta_reported_inflation,beta_credit,beta_reported_credit
2012-03-31,-0.00416796,0.030306,0.0352741,32.3641,1.33331,1.2929,0.397473,0.385427,-0.113205,-0.109774,0.0658015,0.0638073
2012-06-30,-0.00429879,0.0298877,0.0345263,34.2752,1.33079,1.29101,0.403668,0.391604,-0.10993,-0.106644,0.0662599,0.0642795
2012-09-30,-0.00387797,0.0560384,0.0360575,35.3016,1.31312,1.23954,0.538244,0.508082,-0.0180662,-0.0170538,0.152938,0.144367
2012-12-31,-0.00418815,0.0561516,0.0355109,37.114,1.31154,1.2379,0.527452,0.497834,-0.0203249,-0.0191837,0.136877,0.129191
2013-03-31,-0.00365287,0.0588758,0.0351008,38.9331,1.30898,1.23191,0.499432,0.470028,-0.0345585,-0.0325238,0.148756,0.139998
2013-06-30,-0.00384563,0.0589935,0.0344911,40.8692,1.30347,1.22657,0.515127,0.484738,-0.0214792,-0.0202121,0.159608,0.150192
2013-09-30,-0.0039587,0.0589237,0.0338902,42.8364,1.30404,1.2272,0.531793,0.500458,-0.00812338,-0.00764472,0.159328,0.14994
2013-12-31,-0.00466743,0.0694949,0.0342613,44.3257,1.27779,1.18899,0.556663,0.517977,0.00680653,0.00633351,0.229747,0.213781
2014-03-31,-0.00592985,0.0728116,0.0347045,45.5155,1.27465,1.18184,0.681988,0.632331,0.125552,0.11641,0.205638,0.190666
2014-06-30,-0.00570286,0.072351,0.0342539,47.3859,1.2707,1.17876,0.697373,0.646917,0.128996,0.119663,0.222382,0.206292
2014-09-30,-0.00564954,0.072894,0.0337723,49.3534,1.27401,1.18115,0.712793,0.660835,0.143378,0.132927,0.218227,0.20232
2014-12-31,-0.00574128,0.0721729,0.0332517,51.3507,1.27508,1.18306,0.720599,0.668592,0.150863,0.139975,0.214946,0.199433
2015-03-31,-0.00501157,0.0589938,0.03325,52.3692,1.28608,1.21021,0.699905,0.658615,0.0705089,0.0663493,0.18938,0.178208
2015-06-30,-0.00497155,0.0596834,0.0328148,54.3661,1.28694,1.21014,0.702991,0.661034,0.0708289,0.0666016,0.191107,0.179701
2015-09-30,-0.00574111,0.0564194,0.0325489,56.0491,1.29062,1.2178,0.766837,0.723573,0.068419,0.0645588,0.218435,0.206111
2015-12-31,-0.00425734,0.0474532,0.0334738,56.1399,1.20678,1.14952,0.677291,0.645151,-0.0573652,-0.054643,0.359205,0.34216
2016-03-31,-0.00419146,0.0469707,0.0330288,58.1194,1.20738,1.15067,0.672035,0.640469,-0.0599387,-0.0571233,0.356624,0.339873
2016-06-30,-0.00411536,0.0497135,0.0328333,59.9624,1.20874,1.14865,0.723806,0.687823,-0.0213213,-0.0202614,0.362481,0.344461
2016-09-30,-0.00404634,0.0507364,0.0324838,61.9444,1.2075,1.14624,0.729997,0.69296,-0.0213538,-0.0202703,0.372422,0.353527
2016-12-31,-0.00440424,0.0494365,0.0322387,63.7158,1.20582,1.14621,0.73727,0.700822,-0.0292882,-0.0278402,0.371345,0.352987
2017-03-31,-0.00480205,0.0480901,0.031874,65.6612,1.21595,1.15748,0.779362,0.741883,-0.0267309,-0.0254454,0.36521,0.347647
2017-06-30,-0.00515176,0.0573463,0.0320926,67.3174,1.19805,1.12935,0.783809,0.738861,-0.0217433,-0.0204964,0.415483,0.391657
2017-09-30,-0.005287,0.0580593,0.0318034,69.2887,1.19468,1.12531,0.790597,0.744695,-0.00327916,-0.00308877,0.412805,0.388838
