,alpha_m,theta,sigma_eta_m,llf,beta_growth,beta_reported_growth,beta_term,beta_reported_term,beta_inflation,beta_reported_inflation,beta_credit,beta_reported_credit
2012-03-31,0.0015927,0.366169,0.0148616,62.0242,0.653021,0.413904,0.693678,0.439674,1.15529,0.732256,-0.841504,-0.533371
2012-06-30,0.00137291,0.368052,0.0146525,65.1323,0.649867,0.410682,0.705682,0.445954,1.16428,0.735762,-0.83998,-0.530824
2012-09-30,0.00135263,0.366389,0.0143254,68.345,0.650621,0.412241,0.699291,0.443079,1.15872,0.734178,-0.842765,-0.533985
2012-12-31,0.00123258,0.368171,0.0141384,71.4935,0.650671,0.411113,0.696442,0.440032,1.16057,0.733284,-0.848755,-0.536268
2013-03-31,0.0014697,0.370028,0.0139896,74.6084,0.649662,0.409269,0.684382,0.431142,1.15589,0.72818,-0.844737,-0.532161
2013-06-30,0.000913935,0.372785,0.0141702,77.1353,0.634831,0.398176,0.730707,0.45831,1.19711,0.750843,-0.81413,-0.510635
2013-09-30,0.00340585,0.38628,0.0158907,77.1978,0.626149,0.38428,0.366136,0.224705,0.918382,0.563629,-0.808897,-0.496436
2013-12-31,0.00340302,0.386337,0.0156251,80.3683,0.626033,0.384173,0.366219,0.224735,0.918468,0.563629,-0.808635,-0.496229
2014-03-31,0.00438476,0.407637,0.0170996,81.3468,0.637999,0.377927,0.275167,0.162999,0.855754,0.506917,-0.786301,-0.465776
2014-06-30,0.00429078,0.399913,0.0166538,84.4016,0.636454,0.381928,0.267092,0.160278,0.844089,0.506527,-0.793539,-0.476193
2014-09-30,0.00431627,0.399811,0.0164056,87.5291,0.637772,0.382784,0.273714,0.16428,0.850075,0.510206,-0.795639,-0.477534
2014-12-31,0.00416219,0.395476,0.0160771,90.6246,0.638316,0.385877,0.286745,0.173344,0.858078,0.518729,-0.799575,-0.483362
2015-03-31,0.00464596,0.378471,0.0164353,91.5478,0.644245,0.400417,0.27763,0.172555,0.789595,0.490757,-0.807652,-0.501979
2015-06-30,0.00447318,0.372776,0.0162425,94.26,0.639889,0.401353,0.266939,0.167431,0.784823,0.492259,-0.811424,-0.508944
2015-09-30,0.0052531,0.370555,0.0165272,96.1046,0.633666,0.398858,0.200372,0.126124,0.780814,0.49148,-0.841056,-0.529399
2015-12-31,0.00562882,0.388565,0.0170181,98.6927,0.620477,0.379381,0.181575,0.111021,0.772285,0.472202,-0.80476,-0.492058
2016-03-31,0.00558742,0.389451,0.016826,101.789,0.620358,0.378759,0.184817,0.11284,0.774793,0.473049,-0.803631,-0.490656
2016-06-30,0.00549191,0.389172,0.0168777,104.258,0.620024,0.378728,0.133218,0.0813735,0.73665,0.449966,-0.806365,-0.49255
2016-09-30,0.00551057,0.388818,0.0166632,107.365,0.619441,0.378591,0.134516,0.0822139,0.735971,0.449812,-0.80409,-0.491445
2016-12-31,0.00547272,0.389311,0.0164809,110.48,0.61955,0.378353,0.135416,0.0826972,0.735867,0.449386,-0.804153,-0.491088
2017-03-31,0.00539026,0.38816,0.0162621,113.604,0.621185,0.380066,0.144145,0.0881939,0.735257,0.44986,-0.804835,-0.49243
2017-06-30,0.00521402,0.391745,0.0163724,116.207,0.609233,0.370569,0.141147,0.0858535,0.737187,0.448398,-0.781084,-0.475098
2017-09-30,0.00539895,0.392146,0.0163791,118.86,0.614724,0.373662,0.132659,0.0806374,0.712408,0.43304,-0.77624,-0.47184
2017-12-31,0.00534892,0.391091,0.016184,121.972,0.612797,0.373138,0.133038,0.0810078,0.711349,0.433147,-0.774076,-0.471342
2018-03-31,0.00532258,0.390777,0.0160057,125.121,0.611867,0.372763,0.133147,0.0811159,0.709636,0.432327,-0.771965,-0.470299
2018-06-30,0.00543189,0.39311,0.0159177,128.231,0.611889,0.371349,0.124593,0.0756141,0.713333,0.432915,-0.77757,-0.471899
2018-09-30,0.0055095,0.394263,0.0158028,131.351,0.612561,0.371051,0.122642,0.074289,0.718377,0.435147,-0.782824,-0.474185
2018-12-31,0.00542222,0.392278,0.0156177,134.457,0.611581,0.371672,0.129385,0.0786304,0.723008,0.439388,-0.785387,-0.477297
2019-03-31,0.00581853,0.4034,0.016131,136.439,0.585904,0.34955,0.121143,0.0722739,0.722218,0.430875,-0.74541,-0.444711
2019-06-30,0.00580741,0.406849,0.0160864,139.56,0.583058,0.345841,0.11194,0.0663971,0.724473,0.429722,-0.745162,-0.441993
2019-09-30,0.00580457,0.406702,0.0159303,142.747,0.582889,0.345827,0.110742,0.065703,0.724033,0.429568,-0.745617,-0.442373
2019-12-31,0.00574005,0.405524,0.0157838,145.833,0.58339,0.346811,0.107123,0.0636821,0.723763,0.43026,-0.750168,-0.445957
2020-03-31,0.00573918,0.405548,0.0156403,149.038,0.583375,0.346788,0.107157,0.0636999,0.723785,0.430256,-0.750138,-0.445921
2020-06-30,0.00555146,0.40687,0.0158163,151.245,0.575168,0.34115,0.0862393,0.0511512,0.697253,0.413562,-0.654138,-0.387989
2020-09-30,0.00565927,0.36971,0.0156986,150.908,0.554411,0.34944,0.161011,0.101484,0.674289,0.424997,-0.546358,-0.344364
2020-12-31,0.00572287,0.377703,0.015822,153.842,0.561939,0.349692,0.172431,0.107303,0.699726,0.435437,-0.554661,-0.345164
2021-03-31,0.00616633,0.430658,0.0197265,148.728,0.638788,0.363689,0.192435,0.109562,0.785658,0.447308,-0.604734,-0.344301
2021-06-30,0.00670863,0.476067,0.0216379,150.687,0.667796,0.34988,0.144521,0.0757193,0.863569,0.452453,-0.632949,-0.331623
2021-09-30,0.00672109,0.45761,0.0208412,153.375,0.647876,0.351402,0.111686,0.0605772,0.818989,0.444211,-0.628587,-0.340939
2021-12-31,0.00646636,0.442541,0.0203624,155.632,0.650769,0.362777,0.101615,0.0566463,0.766327,0.427196,-0.638096,-0.355713
2022-03-31,0.00639781,0.44484,0.0203225,158.526,0.645066,0.358115,0.098135,0.0544806,0.756334,0.419887,-0.616542,-0.342279
2022-06-30,0.00516826,0.440477,0.020945,158.61,0.678187,0.379461,0.246895,0.138143,0.750135,0.419718,-0.594255,-0.332499
2022-09-30,0.00573819,0.434474,0.020726,161.078,0.647193,0.366005,0.172339,0.0974623,0.699611,0.395648,-0.565153,-0.319609
2022-12-31,0.00580504,0.432911,0.0205155,164.048,0.644215,0.365327,0.163119,0.0925031,0.692342,0.39262,-0.562596,-0.319042
2023-03-31,0.00550037,0.453645,0.0215507,165.731,0.647,0.353492,0.157235,0.0859064,0.708695,0.387199,-0.55364,-0.302484
2023-06-30,0.00537515,0.462527,0.0218886,168.261,0.642647,0.345406,0.140311,0.0754131,0.703303,0.378006,-0.530971,-0.285383
2023-09-30,0.00497955,0.469315,0.0224816,169.768,0.62968,0.334162,0.189144,0.100376,0.759583,0.403099,-0.506656,-0.268875
2023-12-31,0.00484575,0.470323,0.0223886,172.651,0.635559,0.336641,0.202007,0.106998,0.764313,0.404839,-0.513903,-0.272202
2024-03-31,0.00479326,0.475332,0.0225174,175.385,0.633848,0.33256,0.179445,0.0941492,0.767186,0.402518,-0.517474,-0.271502
2024-06-30,0.00446005,0.483278,0.0231434,176.98,0.615488,0.318036,0.211039,0.109048,0.793134,0.40983,-0.466539,-0.241071
2024-09-30,0.00420887,0.48794,0.0234162,179.244,0.616301,0.315583,0.215674,0.110438,0.789982,0.404518,-0.453329,-0.232132
2024-12-31,0.00417502,0.489833,0.0233615,182.146,0.615115,0.313811,0.207047,0.105629,0.788861,0.40245,-0.449939,-0.229544
