,alpha_m,theta,sigma_eta_m,llf,beta_growth,beta_reported_growth,beta_term,beta_reported_term,beta_inflation,beta_reported_inflation,beta_credit,beta_reported_credit
2012-03-31,0.00589862,0.321792,0.0232582,50.1665,0.604195,0.40977,0.539035,0.365578,1.359,0.921684,-1.20556,-0.817617
2012-06-30,0.00522118,0.328445,0.023379,52.4599,0.593175,0.39835,0.575696,0.386612,1.39256,0.935184,-1.20473,-0.809039
2012-09-30,0.00534581,0.331512,0.0231138,55.0455,0.586926,0.392353,0.603197,0.40323,1.41416,0.945346,-1.19278,-0.797362
2012-12-31,0.00524582,0.332215,0.0227131,57.7293,0.586503,0.391658,0.600032,0.400692,1.41496,0.944891,-1.19841,-0.800281
2013-03-31,0.00583497,0.336531,0.0227048,60.1346,0.583034,0.386825,0.569943,0.378139,1.4064,0.933105,-1.19114,-0.790287
2013-06-30,0.0048289,0.336007,0.0230519,61.9149,0.553837,0.367744,0.651374,0.432508,1.47304,0.978089,-1.13466,-0.753409
2013-09-30,0.00727569,0.335079,0.0236161,63.3845,0.540679,0.359509,0.29035,0.19306,1.18134,0.7855,-1.12974,-0.751186
2013-12-31,0.00707677,0.341007,0.0235201,65.9609,0.530597,0.34966,0.295798,0.194929,1.19366,0.786611,-1.11248,-0.733114
2014-03-31,0.00818891,0.352153,0.0244835,67.444,0.535747,0.347082,0.190158,0.123193,1.11598,0.722985,-1.09412,-0.70882
2014-06-30,0.00795092,0.338075,0.0236923,69.9828,0.537389,0.355712,0.178801,0.118353,1.08683,0.719398,-1.1012,-0.728915
2014-09-30,0.00790623,0.340414,0.02344,72.6399,0.534825,0.352763,0.164743,0.108662,1.07839,0.711289,-1.09808,-0.724276
2014-12-31,0.00803841,0.34252,0.02318,75.3291,0.533211,0.350576,0.153433,0.100879,1.07138,0.704408,-1.09591,-0.720538
2015-03-31,0.00818023,0.336,0.0227124,77.9125,0.537039,0.356594,0.15248,0.101247,1.04317,0.692663,-1.09569,-0.727536
2015-06-30,0.00802738,0.337696,0.02256,80.473,0.535488,0.354656,0.143872,0.0952868,1.04793,0.694045,-1.10046,-0.728839
2015-09-30,0.00867652,0.334576,0.0224438,82.7257,0.530596,0.353071,0.0881711,0.0586712,1.04122,0.692855,-1.12408,-0.74799
2015-12-31,0.00916745,0.355674,0.0230631,85.1515,0.511234,0.329401,0.0615292,0.0396449,1.0475,0.674932,-1.09544,-0.705823
2016-03-31,0.00859104,0.366157,0.0236473,87.0564,0.504987,0.320083,0.106458,0.0674778,1.08865,0.690034,-1.08285,-0.686356
2016-06-30,0.00854947,0.373659,0.0237366,89.614,0.505987,0.316921,0.0669614,0.0419407,1.07578,0.673804,-1.09013,-0.682796
2016-09-30,0.00848927,0.375783,0.0235468,92.3229,0.507857,0.317013,0.0618461,0.0386054,1.08109,0.674835,-1.09968,-0.68644
2016-12-31,0.00835951,0.379541,0.0234467,95.0072,0.507999,0.315192,0.0646672,0.0401234,1.08626,0.673978,-1.10216,-0.683846
2017-03-31,0.0082545,0.378237,0.0231287,97.7663,0.510416,0.317358,0.0754946,0.0469398,1.08447,0.674281,-1.10237,-0.685411
2017-06-30,0.0080549,0.382053,0.0232159,100.145,0.494434,0.305534,0.0710737,0.0439198,1.08956,0.673291,-1.07519,-0.664411
2017-09-30,0.0083868,0.377409,0.0232289,102.059,0.503597,0.313535,0.0554035,0.0344937,1.03254,0.642849,-1.0628,-0.661692
2017-12-31,0.00832201,0.375611,0.0229201,104.81,0.501643,0.31322,0.0561373,0.0350515,1.02917,0.642601,-1.05936,-0.661455
2018-03-31,0.00852533,0.378398,0.0228878,107.365,0.507824,0.315664,0.0548385,0.0340877,1.04454,0.649289,-1.07616,-0.668943
2018-06-30,0.00799997,0.358536,0.0221805,109.646,0.508843,0.326404,0.0927284,0.0594819,1.00181,0.642624,-1.04204,-0.668429
2018-09-30,0.00796317,0.35853,0.0219556,112.43,0.508784,0.32637,0.0937114,0.060113,1.00008,0.641521,-1.03967,-0.666917
2018-12-31,0.00810279,0.35988,0.0218224,115.134,0.509085,0.325876,0.0830139,0.0531388,0.991935,0.634957,-1.03599,-0.663159
2019-03-31,0.00824116,0.364928,0.0218065,117.877,0.500314,0.317735,0.0800441,0.0508337,0.996979,0.633153,-1.02566,-0.651368
2019-06-30,0.00824157,0.375463,0.0220329,120.521,0.492233,0.307418,0.0579338,0.0361818,1.01282,0.632542,-1.0302,-0.643399
2019-09-30,0.00831054,0.372768,0.0218738,122.995,0.493871,0.309772,0.0857634,0.0537935,1.01357,0.635745,-1.01703,-0.637911
2019-12-31,0.00830771,0.372686,0.0216675,125.82,0.493895,0.309827,0.0856126,0.053706,1.01346,0.635756,-1.01717,-0.638086
2020-03-31,0.00839141,0.371538,0.0214558,128.59,0.496414,0.311977,0.0823709,0.0517669,1.01204,0.636027,-1.01998,-0.641016
2020-06-30,0.00791709,0.368103,0.0224337,128.127,0.473191,0.299008,0.0286057,0.0180758,0.934221,0.590331,-0.775499,-0.490035
2020-09-30,0.00791399,0.388096,0.0230924,130.598,0.479178,0.293211,-0.00627721,-0.00384105,0.963523,0.589583,-0.827337,-0.506251
2020-12-31,0.00812818,0.373014,0.0227351,132.381,0.488483,0.306272,0.0181835,0.0114008,0.984567,0.61731,-0.858293,-0.538137
2021-03-31,0.00896554,0.433309,0.0282822,127.748,0.576434,0.32666,0.0311516,0.0176533,1.14829,0.650727,-0.963075,-0.545766
2021-06-30,0.00782646,0.338133,0.0248052,128.469,0.542722,0.35921,0.113661,0.0752286,0.92757,0.613928,-0.871907,-0.577086
2021-09-30,0.00795271,0.361495,0.0266834,128.35,0.580579,0.370703,0.208781,0.133308,1.03376,0.660063,-0.919672,-0.587215
2021-12-31,0.00810015,0.378965,0.027284,130.794,0.580036,0.360222,0.224784,0.139598,1.08909,0.676362,-0.918884,-0.570659
2022-03-31,0.00805261,0.375485,0.0269455,133.338,0.571622,0.356986,0.217513,0.13584,1.06962,0.667996,-0.898337,-0.561024
2022-06-30,0.00720543,0.364675,0.0266452,135.073,0.593065,0.376789,0.315655,0.200544,1.04863,0.666221,-0.882028,-0.560374
2022-09-30,0.00758291,0.362018,0.0263894,137.539,0.57331,0.365762,0.26464,0.168836,1.01359,0.646655,-0.860154,-0.548763
