,alpha_m,theta,sigma_eta_m,llf,beta_growth,beta_reported_growth,beta_term,beta_reported_term,beta_inflation,beta_reported_inflation,beta_credit,beta_reported_credit
2015-06-30,0.00164843,0.0516753,0.00302463,73.8298,-0.124284,-0.117862,0.923645,0.875915,0.12961,0.122913,0.995156,0.943731
2015-09-30,0.000886663,0.0199952,0.00370057,73.0157,-0.126246,-0.123722,0.953518,0.934452,0.0365059,0.035776,1.15241,1.12936
2015-12-31,-0.000245407,0.109863,0.00514521,71.7743,-0.0668311,-0.0594889,1.05762,0.941427,0.111808,0.0995249,1.03368,0.920121
2016-03-31,-0.000986422,0.151946,0.00611689,72.4519,-0.0796716,-0.0675658,1.12762,0.956285,0.0889049,0.0753961,1.1284,0.956941
2016-06-30,-0.000362987,0.0784378,0.00608865,73.9397,-0.0740888,-0.0682774,1.11435,1.02694,0.173021,0.15945,1.0385,0.957039
2016-09-30,-0.000414796,0.141098,0.00711959,75.0903,-0.126418,-0.108581,1.21142,1.04049,0.131169,0.112661,1.33674,1.14813
2016-12-31,-0.000393091,0.147865,0.00704063,78.6956,-0.130389,-0.111109,1.21947,1.03915,0.135513,0.115476,1.35496,1.15461
2017-03-31,-4.38213e-05,0.149888,0.00699841,82.0616,-0.154034,-0.130946,1.19859,1.01894,0.166519,0.14156,1.39163,1.18304
2017-06-30,0.000153151,0.131888,0.00682746,85.3198,-0.134032,-0.116355,1.17863,1.02319,0.176556,0.153271,1.31012,1.13733
2017-09-30,0.00018666,0.131501,0.00678465,88.6434,-0.132208,-0.114823,1.17426,1.01984,0.140227,0.121787,1.34075,1.16444
2017-12-31,0.000175833,0.130757,0.00666276,92.3102,-0.132678,-0.115329,1.1733,1.01988,0.139918,0.121623,1.34114,1.16578
2018-03-31,0.00034814,0.129167,0.0066633,95.436,-0.125727,-0.109487,1.17303,1.02151,0.166237,0.144764,1.3002,1.13226
2018-06-30,0.000311534,0.128571,0.00655241,99.1163,-0.126206,-0.109979,1.1746,1.02358,0.162057,0.141221,1.3102,1.14175
2018-09-30,0.000237744,0.133026,0.00649024,102.783,-0.127898,-0.110884,1.18053,1.02349,0.154023,0.133534,1.33019,1.15324
2018-12-31,0.000368248,0.122424,0.00637302,106.195,-0.1325,-0.116279,1.16251,1.02019,0.139766,0.122655,1.35604,1.19002
2019-03-31,-1.07536e-05,0.114375,0.00653138,108.268,-0.102243,-0.0905489,1.16333,1.03027,0.154839,0.137129,1.32566,1.17404
2019-06-30,-3.96652e-06,0.11082,0.0064186,111.922,-0.101206,-0.0899901,1.16483,1.03574,0.153049,0.136088,1.3332,1.18546
2019-09-30,4.35241e-05,0.0932873,0.00633521,114.887,-0.0961544,-0.0871844,1.12648,1.0214,0.159619,0.144728,1.27279,1.15406
