,alpha_m,theta,sigma_eta_m,llf,beta_growth,beta_reported_growth,beta_term,beta_reported_term,beta_inflation,beta_reported_inflation,beta_credit,beta_reported_credit
2017-03-31,0.00161525,0.019986,0.00355833,69.9821,0.122713,0.120261,0.402883,0.394831,-0.16534,-0.162035,0.0327182,0.0320643
2017-06-30,0.00167447,0.0198296,0.00353934,73.9965,0.134971,0.132295,0.410292,0.402156,-0.154072,-0.151017,-0.00810242,-0.00794175
2017-09-30,0.00164554,0.0199366,0.0034334,78.1562,0.132382,0.129742,0.413373,0.405132,-0.162229,-0.158995,0.0228232,0.0223682
2017-12-31,0.00162912,0.0199262,0.00336994,82.2909,0.129039,0.126468,0.410867,0.40268,-0.162675,-0.159434,0.0256285,0.0251178
2018-03-31,0.00152303,0.0198628,0.00337293,86.1581,0.128356,0.125806,0.410339,0.402189,-0.181561,-0.177954,0.0359683,0.0352539
2018-06-30,0.00163334,0.0198542,0.00331479,90.3377,0.127765,0.125228,0.405937,0.397878,-0.165432,-0.162148,0.00727624,0.00713178
2018-09-30,0.00170099,0.0199154,0.0032362,94.5077,0.124102,0.12163,0.409172,0.401023,-0.153566,-0.150507,0.00479357,0.0046981
2018-12-31,0.00166334,0.0199355,0.0032289,98.3578,0.125157,0.122662,0.41263,0.404404,-0.146072,-0.14316,-0.0244826,-0.0239945
2019-03-31,0.00200051,0.0199649,0.00334427,101.021,0.0953538,0.0934501,0.408547,0.40039,-0.147581,-0.144635,-0.0206625,-0.02025
2019-06-30,0.00200055,0.0198566,0.0033272,105.306,0.100683,0.098684,0.415536,0.407285,-0.138943,-0.136185,-0.0500105,-0.0490174
2019-09-30,0.00199095,0.019988,0.00326621,109.198,0.0962285,0.0943051,0.417355,0.409013,-0.158447,-0.15528,-0.0057718,-0.00565644
2019-12-31,0.00202245,0.0199916,0.00324214,113.328,0.0962691,0.0943445,0.422142,0.413702,-0.156619,-0.153488,-0.00856153,-0.00839037
2020-03-31,0.00195728,0.019989,0.0032534,116.897,0.0941703,0.0922879,0.423054,0.414598,-0.166513,-0.163184,-0.0132762,-0.0130108
2020-06-30,0.00163334,0.0198305,0.00383222,115.748,0.0320737,0.0314376,0.401697,0.393731,-0.198086,-0.194158,0.376621,0.369153
2020-09-30,0.00163957,0.0199705,0.00370928,119.837,0.0330711,0.0324107,0.391124,0.383313,-0.214269,-0.20999,0.379718,0.372135
2020-12-31,0.00171151,0.0199881,0.00375282,123.463,0.0360887,0.0353674,0.40651,0.398384,-0.175651,-0.17214,0.361281,0.35406
2021-03-31,0.00170415,0.019988,0.00370181,127.57,0.0340439,0.0333635,0.406573,0.398446,-0.17678,-0.173246,0.364632,0.357344
2021-06-30,0.00191783,0.0199919,0.00374471,130.827,0.0302221,0.0296179,0.391582,0.383753,-0.138939,-0.136161,0.344001,0.337123
2021-09-30,0.00194034,0.0199702,0.00371755,134.735,0.0324964,0.0318475,0.396679,0.388758,-0.131785,-0.129153,0.338465,0.331706
2021-12-31,0.0019528,0.0199502,0.00368282,138.876,0.0307763,0.0301623,0.400955,0.392956,-0.123795,-0.121326,0.339262,0.332493
2022-03-31,0.00194182,0.019959,0.00363782,142.978,0.0288019,0.0282271,0.399714,0.391736,-0.128978,-0.126404,0.346084,0.339177
2022-06-30,0.00167865,0.0199919,0.0037057,145.788,0.0458746,0.0449575,0.416366,0.408042,-0.169539,-0.166149,0.346851,0.339916
2022-09-30,0.00189103,0.0198269,0.00378428,148.851,0.0260864,0.0255692,0.398983,0.391073,-0.173911,-0.170463,0.37478,0.36735
2022-12-31,0.00160623,0.0147801,0.0041644,148.637,0.0487989,0.0480777,0.427332,0.421016,-0.163535,-0.161118,0.331167,0.326273
2023-03-31,0.0015624,0.0199063,0.00416053,151.969,0.0429407,0.0420859,0.43291,0.424292,-0.149954,-0.146969,0.33352,0.326881
2023-06-30,0.0015928,0.0198104,0.00415237,155.61,0.0461769,0.0452621,0.438397,0.429712,-0.145596,-0.142712,0.326152,0.319691
2023-09-30,0.00154054,0.019979,0.00420958,158.495,0.0363841,0.0356572,0.453647,0.444584,-0.121998,-0.11956,0.337706,0.330959
2023-12-31,0.0015755,0.00422399,0.00408824,162.532,0.0354591,0.0353093,0.446677,0.444791,-0.118732,-0.11823,0.333653,0.332244
2024-03-31,0.00155928,0.019983,0.00412806,166.462,0.0335978,0.0329264,0.450031,0.441038,-0.117884,-0.115528,0.339392,0.33261
2024-06-30,0.00155689,0.0199203,0.00408719,170.504,0.0326863,0.0320352,0.451406,0.442414,-0.115914,-0.113605,0.34061,0.333825
2024-09-30,0.0015971,0.0199344,0.00407181,174.235,0.0326365,0.0319859,0.452291,0.443275,-0.111596,-0.109371,0.338667,0.331916
2024-12-31,0.00163535,0.0199325,0.00410913,177.338,0.0353659,0.0346609,0.461392,0.452195,-0.112274,-0.110036,0.336064,0.329366
2025-03-31,0.00166096,0.0199486,0.00407375,181.322,0.0339808,0.0333029,0.459412,0.450247,-0.111817,-0.109586,0.338843,0.332084
2025-06-30,0.00179333,0.000178822,0.00409115,183.611,0.0251008,0.0250963,0.473692,0.473607,-0.0669259,-0.066914,0.331921,0.331862
