,alpha_m,theta,sigma_eta_m,llf,beta_growth,beta_reported_growth,beta_term,beta_reported_term,beta_inflation,beta_reported_inflation,beta_credit,beta_reported_credit
2012-03-31,-0.000692153,0.0530843,0.00895109,64.4525,0.210756,0.199568,0.266235,0.252102,0.571321,0.540993,-0.00849617,-0.00804516
2012-06-30,-0.000803531,0.0569116,0.00882346,67.6966,0.208384,0.196525,0.272827,0.2573,0.57694,0.544106,-0.00596299,-0.00562363
2012-09-30,-0.000836418,0.0489027,0.00860128,70.9435,0.211462,0.201121,0.261969,0.249158,0.566859,0.539138,-0.0140689,-0.0133809
2012-12-31,-0.0008323,0.0485903,0.00843157,74.2908,0.211514,0.201236,0.26202,0.249289,0.56669,0.539154,-0.0140072,-0.0133266
2013-03-31,-0.00067712,0.0534071,0.00837009,77.4828,0.209916,0.198705,0.254614,0.241016,0.564815,0.53465,-0.00920335,-0.00871182
2013-06-30,-0.000342934,0.0515427,0.00843348,80.0861,0.219726,0.208401,0.227094,0.215388,0.541199,0.513304,-0.0286102,-0.0271355
2013-09-30,0.000685663,0.0688137,0.00892502,81.8365,0.212635,0.198002,0.0784188,0.0730225,0.429119,0.39959,-0.0192083,-0.0178865
2013-12-31,0.000590302,0.0725289,0.00885658,85.0093,0.207674,0.192611,0.0814543,0.0755465,0.431754,0.400439,-0.00879457,-0.00815671
2014-03-31,0.000801701,0.0717493,0.00880474,87.9989,0.208563,0.193599,0.0604887,0.0561487,0.411749,0.382207,-0.00446495,-0.0041446
2014-06-30,0.000868824,0.0789577,0.00877409,91.1986,0.2068,0.190471,0.066535,0.0612816,0.417154,0.384216,0.00390583,0.00359743
2014-09-30,0.000838134,0.0782539,0.00865812,94.4624,0.205219,0.189159,0.0583888,0.0538196,0.40935,0.377317,0.0061386,0.00565823
2014-12-31,0.00105212,0.0830931,0.00868013,97.4176,0.201607,0.184855,0.0402089,0.0368678,0.393494,0.360798,0.0139422,0.0127837
2015-03-31,0.00112697,0.0808887,0.00858489,100.585,0.203912,0.187418,0.0391113,0.0359476,0.384753,0.353631,0.0114509,0.0105246
2015-06-30,0.00123291,0.0789448,0.00857377,103.429,0.205261,0.189057,0.0444255,0.0409184,0.382498,0.352302,0.0131577,0.0121189
2015-09-30,0.0011099,0.0763556,0.00846036,106.691,0.20632,0.190566,0.0544178,0.0502627,0.381292,0.352179,0.016706,0.0154304
2015-12-31,0.00125287,0.0825786,0.00847222,109.778,0.197727,0.181399,0.047532,0.0436069,0.37297,0.34217,0.0348357,0.031959
2016-03-31,0.00108919,0.096065,0.00858209,112.742,0.194598,0.175904,0.0623536,0.0563636,0.386036,0.348951,0.0461814,0.041745
2016-06-30,0.00100891,0.0959505,0.00884372,114.427,0.194435,0.175779,0.0189547,0.017136,0.354183,0.320199,0.0437758,0.0395755
2016-09-30,0.00104524,0.0922407,0.00871567,117.718,0.193923,0.176036,0.0209556,0.0190226,0.351708,0.319266,0.0462975,0.0420269
2016-12-31,0.0010488,0.0922056,0.00861102,121.095,0.193937,0.176055,0.0208672,0.0189431,0.351755,0.319321,0.0462768,0.0420098
2017-03-31,0.00102988,0.0917306,0.00850632,124.481,0.194474,0.176635,0.0228127,0.02072,0.35168,0.31942,0.0458372,0.0416325
2017-06-30,0.000995237,0.0919482,0.0084264,127.802,0.191743,0.174113,0.0221696,0.0201311,0.351315,0.319012,0.0508117,0.0461397
2017-09-30,0.000978925,0.0918875,0.00833441,131.198,0.19128,0.173704,0.0229109,0.0208057,0.35351,0.321027,0.0503487,0.0457223
