,alpha_m,theta,sigma_eta_m,llf,beta_growth,beta_reported_growth,beta_term,beta_reported_term,beta_inflation,beta_reported_inflation,beta_credit,beta_reported_credit
2012-03-31,-0.00232975,0.123947,0.022411,39.2457,0.519421,0.45504,0.648737,0.568328,0.596032,0.522156,-0.340243,-0.298071
2012-06-30,-0.00120861,0.12981,0.0228508,40.9409,0.541889,0.471546,0.594681,0.517485,0.557921,0.485497,-0.348021,-0.302844
2012-09-30,-0.00123826,0.12245,0.0221476,43.3928,0.542016,0.475646,0.582936,0.511555,0.551189,0.483696,-0.356756,-0.313071
2012-12-31,-0.00121029,0.122301,0.0216587,45.8748,0.542241,0.475924,0.583525,0.512159,0.551026,0.483634,-0.355772,-0.312261
2013-03-31,-0.00136627,0.118913,0.0211398,48.3589,0.542,0.477549,0.591049,0.520765,0.555789,0.489699,-0.359582,-0.316823
2013-06-30,-0.00238566,0.127333,0.0215396,50.1455,0.515356,0.449734,0.674741,0.588824,0.628878,0.548801,-0.302331,-0.263834
2013-09-30,0.000701347,0.123221,0.0225124,50.8806,0.506124,0.443759,0.236794,0.207616,0.276263,0.242222,-0.311648,-0.273247
2013-12-31,0.000871995,0.125187,0.0221901,53.2874,0.514685,0.450253,0.232804,0.20366,0.273845,0.239563,-0.324923,-0.284247
2014-03-31,0.00115576,0.136096,0.0221297,55.6888,0.519063,0.44842,0.207363,0.179142,0.248038,0.214281,-0.313397,-0.270745
2014-06-30,0.00135121,0.148251,0.0221847,58.0165,0.519505,0.442488,0.222337,0.189375,0.250837,0.21365,-0.292062,-0.248764
2014-09-30,0.00126242,0.145213,0.0218041,60.4294,0.51401,0.439369,0.200904,0.17173,0.23249,0.198729,-0.28712,-0.245427
2014-12-31,0.000871909,0.13861,0.0214217,62.7538,0.517179,0.445493,0.234332,0.201851,0.266185,0.229289,-0.29985,-0.258288
2015-03-31,0.000694092,0.147874,0.021401,65.155,0.513941,0.437942,0.237162,0.202092,0.283097,0.241234,-0.289862,-0.246999
2015-06-30,-1.93515e-05,0.171697,0.0234932,65.0488,0.50904,0.421639,0.20641,0.17097,0.29506,0.244399,-0.285864,-0.236782
2015-09-30,0.00161094,0.0944929,0.0227603,65.0676,0.482361,0.436782,0.0714019,0.0646549,0.288284,0.261043,-0.390233,-0.353358
2015-12-31,0.00220221,0.135723,0.0238575,66.9647,0.461755,0.399084,0.0351764,0.0304022,0.248023,0.21436,-0.317886,-0.274741
2016-03-31,0.0017665,0.136932,0.0237853,69.0373,0.455679,0.393282,0.0672099,0.0580067,0.263707,0.227597,-0.302695,-0.261246
2016-06-30,0.00185912,0.131489,0.0234905,71.1839,0.455195,0.395342,0.116707,0.101361,0.297839,0.258676,-0.302647,-0.262852
2016-09-30,0.00182543,0.12978,0.0231386,73.6067,0.455347,0.396252,0.114482,0.0996246,0.298102,0.259414,-0.30686,-0.267036
2016-12-31,0.00170785,0.129945,0.0228703,76.0059,0.454788,0.395691,0.117257,0.10202,0.296453,0.257931,-0.30629,-0.266489
2017-03-31,0.00184287,0.131311,0.0226271,78.4454,0.451497,0.39221,0.10275,0.0892578,0.295633,0.256813,-0.30441,-0.264438
2017-06-30,0.00209724,0.129759,0.0225778,80.4227,0.471063,0.409938,0.107043,0.0931535,0.295621,0.257261,-0.339104,-0.295102
2017-09-30,0.00231082,0.146801,0.0229072,82.6065,0.482832,0.411951,0.0979998,0.0836133,0.269862,0.230246,-0.329401,-0.281045
2017-12-31,0.00246779,0.15428,0.0229166,84.9343,0.489704,0.414152,0.0965436,0.0816489,0.269924,0.22828,-0.333164,-0.281764
2018-03-31,0.00252539,0.156594,0.0227263,87.397,0.492112,0.41505,0.0962147,0.081148,0.272922,0.230184,-0.336733,-0.284002
2018-06-30,0.00305577,0.168705,0.0230944,89.3111,0.490278,0.407566,0.0540225,0.0449087,0.279895,0.232675,-0.356842,-0.296641
2018-09-30,0.00277656,0.159386,0.022748,91.4782,0.487143,0.409499,0.0615775,0.051763,0.265598,0.223266,-0.342642,-0.28803
2018-12-31,0.00279764,0.159078,0.0224973,93.9704,0.487134,0.409642,0.0599692,0.0504294,0.26389,0.221911,-0.342212,-0.287774
2019-03-31,0.00337843,0.172359,0.0231709,95.3179,0.445877,0.369026,0.0459734,0.0380495,0.248365,0.205557,-0.277008,-0.229263
2019-06-30,0.00335124,0.174784,0.0230997,97.5983,0.432815,0.357166,0.0184477,0.0152234,0.245114,0.202272,-0.272805,-0.225123
2019-09-30,0.00333394,0.17397,0.0228521,100.08,0.431923,0.356782,0.0120627,0.00996418,0.243858,0.201434,-0.275626,-0.227676
2019-12-31,0.00316782,0.17234,0.0227233,102.269,0.433618,0.358889,0.00370477,0.00306629,0.247151,0.204557,-0.287329,-0.237811
2020-03-31,0.00326023,0.168259,0.0224189,104.72,0.435768,0.362447,0.000645872,0.000537198,0.24682,0.205291,-0.29306,-0.24375
2020-06-30,0.00329087,0.168285,0.0222121,107.226,0.437185,0.363613,0.00397724,0.00330793,0.251219,0.208943,-0.308025,-0.256189
2020-09-30,0.00327857,0.172945,0.0221576,109.686,0.438692,0.362823,-0.0132455,-0.0109548,0.24832,0.205374,-0.327749,-0.271066
2020-12-31,0.00331107,0.173868,0.0219872,112.203,0.440697,0.364074,-0.00973203,-0.00803994,0.255095,0.210743,-0.331752,-0.274071
2021-03-31,0.00333511,0.175235,0.0218302,114.737,0.443413,0.365711,-0.00985695,-0.00812967,0.255879,0.21104,-0.334126,-0.275575
2021-06-30,0.00281566,0.160538,0.0214941,116.663,0.439388,0.36885,0.0497995,0.0418048,0.24485,0.205543,-0.305177,-0.256184
2021-09-30,0.0028072,0.161029,0.0213227,119.208,0.438195,0.367634,0.0467118,0.0391899,0.242583,0.203521,-0.302921,-0.254142
2021-12-31,0.00285063,0.161925,0.0211689,121.754,0.436733,0.366015,0.0473229,0.0396601,0.247697,0.207589,-0.302158,-0.253231
2022-03-31,0.00278952,0.16412,0.0210796,124.229,0.430559,0.359896,0.0436585,0.0364933,0.236998,0.198102,-0.281984,-0.235704
