,alpha_m,theta,sigma_eta_m,llf,beta_growth,beta_reported_growth,beta_term,beta_reported_term,beta_inflation,beta_reported_inflation,beta_credit,beta_reported_credit
2012-03-31,0.00868501,0.183836,0.0132397,58.8669,0.309889,0.25292,-0.0651302,-0.0531569,0.436411,0.356183,1.10026,0.897996
2012-06-30,0.0080244,0.187599,0.0136843,60.7445,0.296149,0.240592,-0.0322847,-0.0262281,0.459126,0.372994,1.1127,0.903961
2012-09-30,0.00811194,0.191582,0.0135281,63.6854,0.290628,0.234949,-0.0186991,-0.0151167,0.471203,0.380929,1.12864,0.912415
2012-12-31,0.00789453,0.195194,0.0135499,66.3074,0.287819,0.231638,-0.0279211,-0.0224711,0.472822,0.38053,1.12397,0.904575
2013-03-31,0.00731389,0.190713,0.0136374,68.5339,0.29369,0.23768,0.0040441,0.00327283,0.486024,0.393333,1.10536,0.894554
2013-06-30,0.00763752,0.188293,0.0134941,71.2845,0.304302,0.247004,-0.0223635,-0.0181526,0.461324,0.37446,1.08191,0.878196
2013-09-30,0.0081995,0.190631,0.0133863,74.1466,0.300433,0.243161,-0.104426,-0.0845192,0.398075,0.32219,1.08757,0.880247
2013-12-31,0.00796361,0.19382,0.0134228,76.7401,0.287143,0.231489,-0.0990432,-0.0798466,0.402358,0.324373,1.11681,0.900352
2014-03-31,0.00751433,0.195246,0.013529,79.1086,0.284828,0.229217,-0.0545546,-0.0439031,0.44581,0.358767,1.10962,0.892972
2014-06-30,0.00749916,0.195041,0.0133138,82.1655,0.285151,0.229534,-0.0555585,-0.0447223,0.445332,0.358474,1.10809,0.89197
2014-09-30,0.00741842,0.195371,0.0132296,84.956,0.28066,0.225827,-0.0769093,-0.0618835,0.426054,0.342815,1.1155,0.897561
2014-12-31,0.00692993,0.19278,0.0133377,87.1445,0.288774,0.233104,-0.0339669,-0.0274187,0.465175,0.375499,1.09772,0.886098
2015-03-31,0.00692142,0.193121,0.0131519,90.2135,0.288389,0.232695,-0.0339043,-0.0273567,0.466466,0.376381,1.09856,0.886409
2015-06-30,0.0067596,0.197976,0.0132676,92.6929,0.284703,0.228339,-0.0435304,-0.0349124,0.473521,0.379775,1.10384,0.885306
2015-09-30,0.00664746,0.198379,0.0131084,95.7329,0.285329,0.228726,-0.0339516,-0.0272163,0.474155,0.380093,1.10897,0.888977
2015-12-31,0.00658398,0.197686,0.0129316,98.8034,0.289036,0.231898,-0.0304243,-0.0244098,0.478458,0.383874,1.10108,0.883412
2016-03-31,0.00583446,0.220826,0.0145856,97.8509,0.270957,0.211123,0.0283957,0.0221252,0.531435,0.41408,1.17193,0.913134
2016-06-30,0.00583741,0.220599,0.0143983,100.865,0.271045,0.211253,0.0302947,0.0236117,0.532548,0.415069,1.17157,0.913124
2016-09-30,0.00578604,0.22095,0.0142487,103.834,0.272092,0.211973,0.0266512,0.0207626,0.533689,0.41577,1.16615,0.908491
2016-12-31,0.00560877,0.221685,0.0141939,106.567,0.271284,0.211145,0.0308291,0.0239948,0.531315,0.413531,1.16784,0.908947
2017-03-31,0.0052727,0.218673,0.01406,109.346,0.281015,0.219565,0.065939,0.0515199,0.530718,0.414664,1.15804,0.904809
2017-06-30,0.00515554,0.219297,0.0140173,112.058,0.271574,0.212019,0.0637087,0.0497376,0.529851,0.413656,1.17588,0.91801
2017-09-30,0.00516378,0.219226,0.0138599,115.109,0.271835,0.212242,0.0633149,0.0494346,0.52863,0.41274,1.17595,0.918155
2017-12-31,0.00512664,0.219314,0.0137176,118.147,0.27076,0.211379,0.0636914,0.049723,0.528873,0.412884,1.17758,0.919317
2018-03-31,0.00499626,0.218989,0.0136491,120.931,0.267033,0.208555,0.0643475,0.0502561,0.521897,0.407607,1.18698,0.927045
2018-06-30,0.00511536,0.22,0.0135484,123.922,0.265559,0.207136,0.0551174,0.0429916,0.524139,0.408829,1.1835,0.923132
2018-09-30,0.00513359,0.220031,0.0134111,127.004,0.265577,0.207142,0.0546357,0.0426142,0.525027,0.409505,1.1824,0.922232
2018-12-31,0.00496067,0.221273,0.0134061,129.695,0.265102,0.206442,0.0684483,0.0533025,0.540039,0.420543,1.17936,0.918398
2019-03-31,0.00553114,0.233757,0.0143002,129.82,0.218642,0.167533,0.0568016,0.0435238,0.535879,0.410613,1.26248,0.967365
2019-06-30,0.00550764,0.245585,0.0148452,131.23,0.193052,0.145641,0.0120844,0.00911669,0.541215,0.408301,1.2917,0.974477
2019-09-30,0.00545467,0.245699,0.0148183,133.857,0.191351,0.144336,-0.00828798,-0.00625163,0.536932,0.405008,1.28358,0.968204
2019-12-31,0.00537144,0.245912,0.0147406,136.682,0.192645,0.145271,-0.0125176,-0.00943939,0.538731,0.406251,1.27806,0.963773
2020-03-31,0.00522317,0.249621,0.0147929,139.29,0.186425,0.13989,-0.00646918,-0.00485434,0.542055,0.406747,1.29231,0.96972
2020-06-30,0.00537414,0.255687,0.0149677,141.619,0.191325,0.142406,0.0113016,0.00841195,0.572376,0.426027,1.22963,0.915232
2020-09-30,0.00537013,0.263665,0.0150256,144.542,0.189013,0.139176,-0.000545087,-0.000401367,0.579745,0.426886,1.23065,0.90617
2020-12-31,0.00526961,0.259059,0.0149097,147.165,0.185404,0.137373,-0.0136853,-0.01014,0.551999,0.408999,1.23203,0.912862
2021-03-31,0.00517022,0.258241,0.0148742,149.778,0.176018,0.130563,-0.0139959,-0.0103816,0.547043,0.405774,1.2424,0.921558
2021-06-30,0.00539716,0.260527,0.0148594,152.562,0.175455,0.129744,-0.0387584,-0.0286608,0.553957,0.409636,1.23276,0.911596
2021-09-30,0.00543769,0.263962,0.0149209,155.136,0.181329,0.133465,-0.0185913,-0.0136839,0.573327,0.421991,1.23087,0.905966
2021-12-31,0.00546221,0.264688,0.0148169,158.175,0.180131,0.132452,-0.0180277,-0.013256,0.57695,0.424238,1.23304,0.906669
2022-03-31,0.00546495,0.264669,0.0146986,161.229,0.180469,0.132704,-0.0178258,-0.0131079,0.577519,0.424667,1.23203,0.905947
2022-06-30,0.00564892,0.265361,0.0146258,164.167,0.174927,0.128508,-0.0397977,-0.0292369,0.578563,0.425035,1.23036,0.903872
2022-09-30,0.00610515,0.268177,0.0147414,166.469,0.150167,0.109896,-0.0997395,-0.0729917,0.543865,0.398013,1.2664,0.926785
2022-12-31,0.00622174,0.267199,0.0146296,169.445,0.146357,0.107251,-0.116823,-0.0856082,0.531249,0.3893,1.2706,0.9311
2023-03-31,0.00608171,0.269422,0.014801,171.435,0.14037,0.102551,-0.124145,-0.0906979,0.532919,0.389339,1.27314,0.930131
2023-06-30,0.00605786,0.269497,0.014709,174.425,0.137811,0.100671,-0.12961,-0.0946806,0.52931,0.386663,1.27772,0.933379
2023-09-30,0.0059364,0.270649,0.0147035,177.125,0.131741,0.0960853,-0.113944,-0.083105,0.547153,0.399067,1.28736,0.938938
2023-12-31,0.0058336,0.27004,0.0146111,180.075,0.136264,0.0994675,-0.104191,-0.0760556,0.549392,0.401034,1.27914,0.933723
2024-03-31,0.00581788,0.270053,0.0145454,182.968,0.133665,0.0975684,-0.11836,-0.0863967,0.548083,0.400072,1.27479,0.930533
2024-06-30,0.00567574,0.271275,0.0146282,185.257,0.122054,0.0889438,-0.104567,-0.0762009,0.557975,0.406611,1.29963,0.947074
2024-09-30,0.00559668,0.271494,0.0145756,188.115,0.121311,0.0883758,-0.103724,-0.0755638,0.555323,0.404556,1.30339,0.94953
2024-12-31,0.00560792,0.271305,0.0144797,191.161,0.122501,0.0892656,-0.0991046,-0.072217,0.556669,0.405642,1.30206,0.948806
2025-03-31,0.00533145,0.270273,0.0145791,193.125,0.130621,0.0953179,-0.0706366,-0.0515455,0.569568,0.415629,1.28448,0.937317
2025-06-30,0.00539162,0.270544,0.0145325,195.972,0.127458,0.0929749,-0.0569535,-0.041545,0.588619,0.429372,1.28443,0.936932
2025-09-30,0.00540267,0.270083,0.0144311,199.041,0.129714,0.0946806,-0.05826,-0.042525,0.585167,0.427124,1.28047,0.934637
