,alpha_m,theta,sigma_eta_m,llf,beta_growth,beta_reported_growth,beta_term,beta_reported_term,beta_inflation,beta_reported_inflation,beta_credit,beta_reported_credit
2013-03-31,-0.0112419,0.63231,0.0310468,47.5861,0.757736,0.278612,2.21963,0.816135,2.13975,0.786766,-0.222959,-0.0819796
2013-06-30,-0.0116537,0.634079,0.0304536,50.5729,0.746719,0.27324,2.25145,0.823854,2.16796,0.793301,-0.193467,-0.0707937
2013-09-30,-0.00591177,0.647627,0.0354454,50.7062,0.708943,0.249812,1.28103,0.451401,1.38945,0.489606,-0.0520217,-0.018331
2013-12-31,-0.00439843,0.627629,0.0338832,52.898,0.763271,0.28422,1.22511,0.456196,1.33648,0.497665,-0.252082,-0.0938681
2014-03-31,-0.00464989,0.621598,0.0326746,55.7683,0.757463,0.286626,1.24044,0.469385,1.34757,0.509923,-0.274654,-0.10393
2014-06-30,-0.00443624,0.628312,0.0327431,58.5725,0.761764,0.283138,1.28864,0.478971,1.38449,0.514599,-0.250311,-0.0930374
2014-09-30,-0.00462003,0.625706,0.0319891,61.4207,0.746462,0.279396,1.23297,0.461495,1.33191,0.498527,-0.226178,-0.0846571
2014-12-31,-0.00458311,0.626547,0.0314402,64.386,0.746331,0.27872,1.23109,0.459753,1.33054,0.496893,-0.222689,-0.0831638
2015-03-31,-0.00414728,0.621325,0.0306451,67.1791,0.757613,0.286889,1.21933,0.46173,1.29102,0.488877,-0.258213,-0.0977789
2015-06-30,-0.00450891,0.6216,0.0304079,69.9051,0.748312,0.283161,1.19573,0.452463,1.28643,0.486785,-0.247205,-0.0935422
2015-09-30,-0.00170001,0.607397,0.0320108,69.8434,0.735167,0.288629,0.953726,0.374436,1.24312,0.488051,-0.405219,-0.15909
2015-12-31,-0.00134246,0.629329,0.0336499,72.4782,0.713749,0.264566,0.972608,0.360517,1.27082,0.471057,-0.290993,-0.107863
2016-03-31,-0.000765867,0.626646,0.0331161,75.1663,0.722715,0.269828,0.929869,0.34717,1.24567,0.465076,-0.322652,-0.120463
2016-06-30,-0.000812063,0.625028,0.0324731,78.0801,0.719384,0.269749,0.902341,0.338353,1.2215,0.458027,-0.319853,-0.119936
2016-09-30,-0.00111988,0.613613,0.0315127,80.5212,0.71564,0.276514,0.845187,0.326569,1.18191,0.456673,-0.372449,-0.143909
2016-12-31,-0.00109475,0.613477,0.0310356,83.4679,0.715841,0.276689,0.844594,0.326455,1.18203,0.45688,-0.373325,-0.144299
2017-03-31,-0.00125325,0.611687,0.0304608,86.4155,0.720053,0.279605,0.861993,0.334723,1.17968,0.458083,-0.380739,-0.147846
2017-06-30,-0.00107324,0.608116,0.0298056,89.3378,0.729305,0.285803,0.860158,0.337082,1.17328,0.45979,-0.411263,-0.161167
2017-09-30,-0.000965163,0.609564,0.0295459,92.2801,0.734952,0.286952,0.858973,0.335374,1.16326,0.454177,-0.408868,-0.159637
2017-12-31,-0.000978321,0.609437,0.0291455,95.2803,0.734324,0.2868,0.858575,0.335328,1.16268,0.454101,-0.408082,-0.159382
2018-03-31,-0.00124008,0.607097,0.0287422,98.098,0.721837,0.283612,0.848991,0.333571,1.13782,0.447052,-0.382222,-0.150176
2018-06-30,-0.000893945,0.609508,0.0286667,100.965,0.721546,0.281758,0.828592,0.323559,1.15097,0.449446,-0.398958,-0.15579
2018-09-30,-0.00135091,0.607778,0.0285087,103.534,0.715296,0.280555,0.827578,0.324594,1.11693,0.438086,-0.360324,-0.141327
2018-12-31,-0.00111729,0.606119,0.0281311,106.442,0.715237,0.281718,0.806016,0.317474,1.09359,0.430745,-0.357581,-0.140844
2019-03-31,-0.000408837,0.624681,0.0303085,107.847,0.65544,0.245999,0.828515,0.310957,1.12845,0.423529,-0.224709,-0.0843376
