,alpha_m,theta,sigma_eta_m,llf,beta_growth,beta_reported_growth,beta_term,beta_reported_term,beta_inflation,beta_reported_inflation,beta_credit,beta_reported_credit
2012-03-31,-0.011601,0.502779,0.0633046,34.2763,1.12474,0.559247,1.86332,0.926481,2.82677,1.40553,-2.18205,-1.08496
2012-06-30,-0.01232,0.498755,0.0616612,36.2044,1.10868,0.555721,1.88642,0.945559,2.82372,1.41538,-2.1734,-1.08941
2012-09-30,-0.0121571,0.506168,0.0615268,38.14,1.09728,0.541872,1.97509,0.975362,2.90403,1.4341,-2.14828,-1.06089
2012-12-31,-0.0120458,0.507085,0.0604589,40.1691,1.09846,0.541447,1.98316,0.977532,2.91083,1.43479,-2.14246,-1.05605
2013-03-31,-0.0109536,0.514861,0.0607232,42.0256,1.09426,0.530867,1.94706,0.944596,2.9229,1.41801,-2.12918,-1.03295
2013-06-30,-0.0112449,0.51509,0.0596811,44.08,1.08607,0.526645,1.97132,0.955915,2.94377,1.42746,-2.11333,-1.02477
2013-09-30,-0.00396577,0.52299,0.0630714,44.5283,1.05091,0.501295,0.910923,0.43452,2.11868,1.01063,-2.10678,-1.00496
2013-12-31,-0.00434525,0.523644,0.0622012,46.5218,1.0328,0.491979,0.921304,0.438869,2.12361,1.01159,-2.07235,-0.987175
2014-03-31,-0.00237237,0.532851,0.0636513,47.9631,1.04495,0.488147,0.742969,0.347077,1.98561,0.927577,-2.03562,-0.950939
2014-06-30,-0.00250389,0.528783,0.0621314,50.0063,1.04517,0.492504,0.72609,0.342146,1.96311,0.92505,-2.04278,-0.962594
2014-09-30,-0.00253789,0.528578,0.0611605,52.0744,1.04323,0.4918,0.716749,0.337891,1.95382,0.921075,-2.03975,-0.961582
2014-12-31,-0.00132419,0.538159,0.0619971,53.8885,1.02992,0.475661,0.623338,0.287883,1.89346,0.874477,-2.01587,-0.931013
2015-03-31,-0.000634383,0.538695,0.0617737,55.6405,1.04964,0.484203,0.617246,0.284739,1.82687,0.842744,-2.03025,-0.936562
2015-06-30,-0.000737688,0.537088,0.0607152,57.7272,1.0476,0.484948,0.609241,0.282025,1.82035,0.842663,-2.03127,-0.9403
2015-09-30,-0.000266538,0.538177,0.0600864,59.8031,1.04497,0.482593,0.570803,0.26361,1.82469,0.842684,-2.0504,-0.946925
2015-12-31,0.00118138,0.559492,0.063103,61.3537,0.975521,0.429724,0.52254,0.230183,1.81258,0.798455,-1.91763,-0.844732
2016-03-31,0.00127804,0.559341,0.0622719,63.4719,0.976669,0.430378,0.514988,0.226934,1.80858,0.796966,-1.92058,-0.846322
2016-06-30,0.00122047,0.557933,0.061318,65.5892,0.975807,0.431372,0.482718,0.213394,1.77931,0.786573,-1.9209,-0.849169
2016-09-30,0.00130237,0.558759,0.0606907,67.7272,0.974424,0.429956,0.489503,0.215989,1.78233,0.786437,-1.91217,-0.84373
2016-12-31,0.00123752,0.55872,0.0599617,69.883,0.974204,0.429897,0.49096,0.216651,1.78095,0.785897,-1.91206,-0.843756
2017-03-31,0.00124795,0.558778,0.0592682,72.0527,0.973961,0.429733,0.489929,0.216167,1.78114,0.785878,-1.912,-0.843617
2017-06-30,0.00109232,0.560324,0.0588404,74.2016,0.962773,0.423308,0.489285,0.215127,1.78678,0.785602,-1.89184,-0.831796
2017-09-30,0.00149107,0.560969,0.0585005,76.2147,0.974578,0.427871,0.471876,0.207168,1.73553,0.761953,-1.88185,-0.826192
2017-12-31,0.00132557,0.559813,0.0577455,78.3849,0.969219,0.426638,0.471742,0.207655,1.73044,0.761717,-1.87431,-0.825046
2018-03-31,0.00123583,0.559605,0.0571106,80.5864,0.96645,0.425619,0.471914,0.207828,1.72487,0.759623,-1.86716,-0.822287
2018-06-30,0.0011154,0.558885,0.0564265,82.801,0.967212,0.426652,0.480444,0.211931,1.7203,0.758849,-1.86083,-0.820841
2018-09-30,0.000750342,0.557703,0.0558116,84.9318,0.965955,0.427239,0.488389,0.216013,1.69737,0.75074,-1.8362,-0.812144
2018-12-31,0.00089208,0.557623,0.055258,87.1545,0.965967,0.427322,0.477175,0.211091,1.68598,0.745839,-1.83159,-0.810252
2019-03-31,0.00206769,0.572517,0.0575452,88.5758,0.883127,0.377522,0.471703,0.201645,1.71698,0.733978,-1.71966,-0.735127
2019-06-30,0.00202758,0.574946,0.0574729,90.6743,0.8592,0.365206,0.42092,0.178914,1.71788,0.730193,-1.71695,-0.729794
2019-09-30,0.00206482,0.575241,0.0569823,92.9092,0.860514,0.365511,0.435885,0.185146,1.72254,0.731662,-1.71119,-0.726842
2019-12-31,0.00216483,0.576077,0.056585,95.1463,0.859233,0.364249,0.442425,0.187554,1.72496,0.731249,-1.70446,-0.722561
2020-03-31,0.00210575,0.576242,0.0560947,97.4084,0.857378,0.363321,0.444809,0.188491,1.72521,0.731071,-1.70217,-0.721307
2020-06-30,0.00158678,0.582452,0.0570049,99.1048,0.835931,0.349041,0.3971,0.165808,1.68026,0.701588,-1.44254,-0.602331
2020-09-30,0.00157959,0.583018,0.0565825,101.376,0.836568,0.348834,0.388894,0.162162,1.68093,0.700916,-1.45475,-0.606604
2020-12-31,0.00151894,0.583812,0.0562098,103.648,0.833684,0.346969,0.383454,0.159589,1.67218,0.695943,-1.44654,-0.602031
2021-03-31,0.00130276,0.584224,0.055921,105.797,0.812791,0.337939,0.384123,0.159709,1.66587,0.692629,-1.41925,-0.590092
2021-06-30,0.000297061,0.58174,0.0554645,107.725,0.810101,0.338833,0.494376,0.206778,1.63527,0.683967,-1.348,-0.563814
2021-09-30,0.000409068,0.580892,0.0551035,109.795,0.828736,0.34733,0.541282,0.226856,1.66964,0.699759,-1.37794,-0.577504
2021-12-31,0.000905417,0.593663,0.0566788,111.766,0.813998,0.330758,0.575006,0.233646,1.79941,0.731169,-1.37427,-0.558415
2022-03-31,0.000896165,0.593427,0.0561951,114.072,0.812615,0.330387,0.573676,0.233241,1.79583,0.730135,-1.37057,-0.557236
2022-06-30,0.00100033,0.594627,0.0559221,116.384,0.809934,0.328326,0.562902,0.228186,1.80249,0.730681,-1.37252,-0.556384
2022-09-30,0.00171615,0.600885,0.056488,118.559,0.773417,0.308682,0.476427,0.190149,1.77334,0.707766,-1.32403,-0.528441
2022-12-31,0.0021396,0.599841,0.0559784,120.809,0.757821,0.303249,0.413944,0.165644,1.72658,0.690907,-1.29929,-0.519923
2023-03-31,0.00178198,0.604853,0.0565909,122.755,0.74853,0.295779,0.407557,0.161045,1.75229,0.69241,-1.3066,-0.5163
2023-06-30,0.0016121,0.60956,0.0569756,124.941,0.736673,0.287627,0.388681,0.151757,1.75866,0.686652,-1.28105,-0.500173
2023-09-30,0.00130963,0.613815,0.0572832,127.163,0.726317,0.280493,0.433025,0.167228,1.8198,0.702781,-1.26576,-0.488818
2023-12-31,0.00101862,0.614666,0.057047,129.45,0.73842,0.284538,0.46253,0.178228,1.83297,0.706306,-1.28324,-0.494475
2024-03-31,0.000874554,0.620137,0.057801,131.382,0.725483,0.275585,0.391627,0.148765,1.85791,0.705752,-1.30789,-0.496821
2024-06-30,0.000662481,0.625374,0.0582549,133.669,0.715206,0.267935,0.420271,0.157444,1.89992,0.71176,-1.28197,-0.48026
2024-09-30,0.00049422,0.627075,0.0581595,135.977,0.714839,0.266581,0.426062,0.158889,1.90492,0.710392,-1.27558,-0.475695
2024-12-31,0.000456879,0.627674,0.057872,138.325,0.71197,0.265085,0.414121,0.154188,1.90417,0.708971,-1.2732,-0.474047
2025-03-31,4.77936e-05,0.628146,0.0576735,140.548,0.723402,0.269,0.457369,0.170074,1.92777,0.716848,-1.29439,-0.481326
2025-06-30,0.000160686,0.627153,0.0571725,142.882,0.717687,0.267588,0.477759,0.178131,1.9532,0.728246,-1.29595,-0.483191
2025-09-30,9.46086e-05,0.628537,0.0570275,145.244,0.708042,0.263011,0.487201,0.180977,1.9767,0.734272,-1.28249,-0.476398
2025-12-31,-0.000184363,0.629263,0.0570953,147.19,0.689636,0.255673,0.474901,0.176063,1.97326,0.731558,-1.25356,-0.464741
2026-03-31,-0.000173209,0.629153,0.0567161,149.58,0.689891,0.255844,0.474207,0.175858,1.9716,0.731163,-1.25386,-0.464989
