,alpha_m,theta,sigma_eta_m,llf,beta_growth,beta_reported_growth,beta_term,beta_reported_term,beta_inflation,beta_reported_inflation,beta_credit,beta_reported_credit
2015-06-30,0.00209214,0.0189187,0.00712944,56.9107,0.26847,0.263391,0.151016,0.148159,0.0928861,0.0911288,0.634744,0.622735
2015-09-30,0.00351496,0.000635316,0.00744032,58.5075,0.256148,0.255986,0.0685705,0.0685269,0.237357,0.237206,0.400749,0.400494
2015-12-31,0.00421846,0.000100176,0.00805856,59.8442,0.175029,0.175012,0.0433921,0.0433878,0.122242,0.12223,0.668494,0.668427
2016-03-31,0.00356143,0.0186994,0.00881746,61.2012,0.188019,0.184503,0.0757711,0.0743542,0.107459,0.10545,0.668685,0.656181
2016-06-30,0.00381452,2.09938e-05,0.0085481,64.2567,0.167967,0.167964,0.110997,0.110995,0.152722,0.152719,0.699453,0.699438
2016-09-30,0.00374268,3.35882e-22,0.00842126,67.4071,0.180547,0.180547,0.101669,0.101669,0.162897,0.162897,0.632303,0.632303
2016-12-31,0.00355433,0.0195331,0.00874372,70.3578,0.175496,0.172068,0.0923616,0.0905575,0.10657,0.104489,0.722775,0.708657
2017-03-31,0.0028108,1.02903e-05,0.00845691,72.8825,0.240299,0.240296,0.155227,0.155225,0.0809307,0.0809298,0.535684,0.535678
2017-06-30,0.00270074,0.0190743,0.00853436,76.0016,0.248547,0.243806,0.159679,0.156633,0.0810966,0.0795497,0.53142,0.521283
2017-09-30,0.00273385,0.0191369,0.00845082,79.106,0.250509,0.245715,0.154492,0.151536,0.0441585,0.0433134,0.562331,0.551569
2017-12-31,0.00264818,0.0186308,0.00826971,82.3712,0.247426,0.242816,0.16013,0.157147,0.0392046,0.0384742,0.577287,0.566532
2018-03-31,0.00270852,0.0191116,0.00818001,85.704,0.249531,0.244762,0.155951,0.15297,0.0488048,0.047872,0.559103,0.548418
2018-06-30,0.00306994,0.019223,0.00818615,88.5624,0.254513,0.249621,0.134923,0.13233,0.0868395,0.0851702,0.462505,0.453614
2018-09-30,0.00317677,7.65146e-07,0.00785848,92.0934,0.24093,0.24093,0.1305,0.130499,0.089699,0.0896989,0.478246,0.478246
2018-12-31,0.00300102,0.0195647,0.00794389,95.1469,0.257251,0.252218,0.13341,0.1308,0.0803424,0.0787705,0.450992,0.442168
2019-03-31,0.00384596,0.019202,0.00882299,94.576,0.198837,0.195019,0.120745,0.118426,0.0731608,0.071756,0.476067,0.466926
2019-06-30,0.00394058,0.0192655,0.00920568,95.8722,0.188217,0.184591,0.0653325,0.0640738,0.0931544,0.0913597,0.371105,0.363955
2019-09-30,0.00393392,0.0197062,0.00923513,99.0834,0.176295,0.172821,0.0562342,0.0551261,0.0703524,0.068966,0.432314,0.423795
2019-12-31,0.00392767,0.0192714,0.00895032,102.37,0.189406,0.185756,0.0623662,0.0611644,0.0947721,0.0929457,0.362679,0.355689
2020-03-31,0.00377142,0.0197207,0.00913925,104.877,0.180794,0.177229,0.0553511,0.0542595,0.0579279,0.0567855,0.395006,0.387216
2020-06-30,0.00398497,0.0199779,0.00907106,107.418,0.246198,0.241279,0.0653412,0.0640358,0.118939,0.116563,0.0162685,0.0159435
2020-09-30,0.00379352,0.0495899,0.00966045,108.893,0.294608,0.279999,-2.94878e-05,-2.80255e-05,0.0936589,0.0890144,-0.176122,-0.167389
2020-12-31,0.00388856,0.0541159,0.00968219,111.719,0.300072,0.283833,0.0168525,0.0159405,0.139617,0.132061,-0.198954,-0.188187
2021-03-31,0.0038845,0.0564825,0.00959112,114.946,0.302336,0.285259,0.0175622,0.0165703,0.14026,0.132338,-0.20125,-0.189883
2021-06-30,0.00366864,0.050994,0.00949108,117.884,0.302566,0.287137,0.0340302,0.0322949,0.106691,0.10125,-0.175484,-0.166536
2021-09-30,0.00366819,0.050601,0.00937953,121.128,0.301641,0.286378,0.0322698,0.0306369,0.10499,0.0996769,-0.17381,-0.165015
2021-12-31,0.00375321,0.0500496,0.00928432,124.314,0.295882,0.281074,0.0358579,0.0340632,0.123339,0.117166,-0.171452,-0.162871
2022-03-31,0.00371216,0.0508122,0.00925893,127.239,0.285466,0.27096,0.0281353,0.0267057,0.0964872,0.0915845,-0.132476,-0.125745
2022-06-30,0.00431497,0.02104,0.00908094,129.466,0.247779,0.242565,-0.0162203,-0.015879,0.149128,0.14599,-0.133485,-0.130677
2022-09-30,0.00454286,0.0199895,0.00902165,132.486,0.232119,0.227479,-0.0415799,-0.0407487,0.130553,0.127943,-0.109238,-0.107055
2022-12-31,0.00440876,0.0284088,0.0090351,135.593,0.241441,0.234582,-0.02576,-0.0250282,0.14227,0.138228,-0.124654,-0.121112
2023-03-31,0.00446243,0.0218332,0.0089083,138.73,0.239765,0.23453,-0.0230857,-0.0225816,0.143942,0.140799,-0.119822,-0.117206
2023-06-30,0.00446754,0.0253431,0.00885696,141.983,0.242494,0.236348,-0.0206828,-0.0201586,0.144982,0.141307,-0.123414,-0.120286
2023-09-30,0.00448533,0.0283119,0.00880544,145.229,0.246101,0.239133,-0.0258353,-0.0251039,0.136058,0.132206,-0.12617,-0.122598
2023-12-31,0.00464466,0.0306858,0.00882084,148.059,0.235099,0.227884,-0.034684,-0.0336197,0.141679,0.137332,-0.10446,-0.101254
2024-03-31,0.00465177,0.0352542,0.00879869,151.243,0.237832,0.229447,-0.0274143,-0.0264478,0.136771,0.13195,-0.0982854,-0.0948204
2024-06-30,0.00459803,0.0202969,0.0087308,153.624,0.218887,0.214444,-0.0131107,-0.0128446,0.152594,0.149497,-0.0686761,-0.0672822
2024-09-30,0.00463342,0.02,0.00866369,156.832,0.218644,0.214272,-0.0124371,-0.0121883,0.157206,0.154062,-0.0707467,-0.0693318
2024-12-31,0.00465376,0.0229289,0.00863426,159.997,0.221508,0.216429,-0.00613667,-0.00599596,0.156418,0.152832,-0.0722831,-0.0706257
2025-03-31,0.00449181,0.0199994,0.00863632,162.616,0.229087,0.224505,0.00642828,0.00629972,0.160188,0.156985,-0.0922782,-0.0904327
2025-06-30,0.00461705,0.019967,0.00868126,165.15,0.218854,0.214484,0.0337113,0.0330382,0.211373,0.207153,-0.0920188,-0.0901815
2025-09-30,0.00461757,0.0199683,0.00860869,168.45,0.220114,0.215719,0.032642,0.0319902,0.208668,0.204501,-0.0937343,-0.0918626
2025-12-31,0.00456645,0.0199551,0.00861697,171.236,0.215386,0.211088,0.0304738,0.0298657,0.207786,0.20364,-0.0851357,-0.0834368
2026-03-31,0.00452378,0.0199555,0.00857515,174.343,0.213042,0.20879,0.0335181,0.0328492,0.217163,0.212829,-0.0831698,-0.0815101
