,alpha_m,theta,sigma_eta_m,llf,beta_growth,beta_reported_growth,beta_term,beta_reported_term,beta_inflation,beta_reported_inflation,beta_credit,beta_reported_credit
2012-03-31,0.00544128,0.170985,0.0168816,52.9184,0.439003,0.36394,0.0104017,0.00862319,0.460401,0.381679,-0.659821,-0.547002
2012-06-30,0.00548202,0.171302,0.0165343,55.7273,0.439751,0.364421,0.0083158,0.00689129,0.459431,0.38073,-0.660122,-0.547042
2012-09-30,0.00545893,0.169105,0.01616,58.5555,0.440331,0.365868,0.00575259,0.00477979,0.456498,0.379302,-0.661686,-0.549792
2012-12-31,0.00527026,0.178164,0.0161796,61.1513,0.440606,0.362106,-0.00589618,-0.00484569,0.458652,0.376937,-0.674141,-0.554034
2013-03-31,0.00552096,0.177678,0.0159382,63.8932,0.438768,0.360808,-0.0194882,-0.0160255,0.450606,0.370543,-0.669904,-0.550877
2013-06-30,0.00545699,0.177419,0.0156505,66.7608,0.436899,0.359385,-0.0142349,-0.0117093,0.454758,0.374075,-0.66634,-0.548119
2013-09-30,0.00686238,0.204636,0.0163359,68.878,0.43406,0.345236,-0.222012,-0.17658,0.310323,0.246819,-0.667528,-0.530928
2013-12-31,0.00734,0.217433,0.0168516,70.8072,0.457462,0.357994,-0.238875,-0.186936,0.314412,0.246049,-0.70979,-0.555458
2014-03-31,0.00851319,0.284366,0.0190837,72.0831,0.474341,0.339454,-0.366181,-0.262051,0.264889,0.189564,-0.702446,-0.502694
2014-06-30,0.008505,0.283567,0.0187624,74.9161,0.474248,0.339767,-0.366044,-0.262246,0.264341,0.189382,-0.70265,-0.503402
2014-09-30,0.00851038,0.283654,0.0184785,77.7644,0.47454,0.339935,-0.364773,-0.261304,0.265613,0.190271,-0.703096,-0.503659
2014-12-31,0.00866652,0.286223,0.0182938,80.5846,0.472955,0.337584,-0.379547,-0.270912,0.254218,0.181455,-0.699927,-0.499592
2015-03-31,0.00924417,0.276134,0.0193189,80.5551,0.487746,0.353063,-0.37911,-0.274425,0.187509,0.135731,-0.709349,-0.513474
2015-06-30,0.00917835,0.271143,0.0189297,83.3421,0.485971,0.354203,-0.378339,-0.275755,0.185715,0.13536,-0.709013,-0.516769
2015-09-30,0.00931979,0.27271,0.0187273,86.1344,0.485427,0.353046,-0.390958,-0.28434,0.186198,0.13542,-0.714713,-0.519804
2015-12-31,0.00933454,0.273275,0.0184939,88.9685,0.484843,0.352348,-0.392056,-0.284917,0.185407,0.13474,-0.713514,-0.518529
2016-03-31,0.00916878,0.280923,0.0185075,91.6938,0.484674,0.348518,-0.382839,-0.275291,0.195618,0.140664,-0.710415,-0.510843
2016-06-30,0.00901379,0.28319,0.0190303,93.0569,0.484993,0.347648,-0.471763,-0.338165,0.132743,0.0951511,-0.716032,-0.513258
2016-09-30,0.00903556,0.279662,0.0187107,95.8764,0.483251,0.348104,-0.466815,-0.336264,0.130773,0.0942008,-0.710949,-0.512124
2016-12-31,0.00899664,0.280849,0.0185216,98.7107,0.483455,0.347677,-0.466701,-0.335629,0.1305,0.0938491,-0.7113,-0.511532
2017-03-31,0.00804909,0.266074,0.018432,100.395,0.503026,0.369184,-0.359933,-0.264164,0.132687,0.0973822,-0.716592,-0.525925
2017-06-30,0.00798589,0.270686,0.0183658,103.165,0.499004,0.363931,-0.363763,-0.265297,0.133723,0.097526,-0.708312,-0.516582
2017-09-30,0.00788923,0.270688,0.0182043,105.908,0.496239,0.361913,-0.359309,-0.262048,0.146911,0.107144,-0.710883,-0.518456
2017-12-31,0.00790788,0.270371,0.0179991,108.763,0.496672,0.362386,-0.359329,-0.262177,0.146695,0.107033,-0.711508,-0.519137
2018-03-31,0.00783031,0.269105,0.0177974,111.575,0.494026,0.361081,-0.358257,-0.261848,0.142296,0.104003,-0.705193,-0.515422
2018-06-30,0.0079551,0.271332,0.0176849,114.4,0.49358,0.359656,-0.369067,-0.268927,0.14434,0.105176,-0.711682,-0.51858
2018-09-30,0.00827328,0.279693,0.0179543,116.608,0.496846,0.357882,-0.381641,-0.274899,0.162475,0.117032,-0.734418,-0.529006
2018-12-31,0.00856048,0.294304,0.0183297,118.978,0.501986,0.35425,-0.410287,-0.289538,0.148942,0.105107,-0.731573,-0.516268
2019-03-31,0.00886262,0.312643,0.0187792,121.465,0.488149,0.335533,-0.427365,-0.293753,0.14873,0.102231,-0.711405,-0.488989
2019-06-30,0.00887754,0.302942,0.0186121,123.582,0.503019,0.350633,-0.381089,-0.265641,0.152139,0.10605,-0.710253,-0.495087
2019-09-30,0.00908485,0.333814,0.0201217,124.227,0.522044,0.347779,-0.332634,-0.221596,0.183287,0.122104,-0.698693,-0.46546
2019-12-31,0.00878369,0.301986,0.0194456,125.896,0.511853,0.357281,-0.331429,-0.231343,0.169804,0.118526,-0.702529,-0.490376
2020-03-31,0.0089114,0.295727,0.0191648,128.536,0.513415,0.361585,-0.333263,-0.234708,0.167669,0.118085,-0.704865,-0.496418
2020-06-30,0.00875209,0.292294,0.0190642,130.896,0.504443,0.356997,-0.349359,-0.247244,0.142165,0.100611,-0.622562,-0.440591
2020-09-30,0.00878289,0.234886,0.0189979,128.986,0.476643,0.364687,-0.211444,-0.161779,0.142865,0.109308,-0.456329,-0.349144
2020-12-31,0.00921532,0.308677,0.0219969,128.63,0.52625,0.363808,-0.185851,-0.128483,0.263237,0.181981,-0.507851,-0.351089
2021-03-31,0.0108574,0.520213,0.0406825,116.119,0.792373,0.38017,-0.261327,-0.125382,0.499283,0.23955,-0.677009,-0.32482
2021-06-30,0.0101852,0.463622,0.0362745,118.279,0.735761,0.394646,-0.181823,-0.097526,0.42404,0.227446,-0.632074,-0.339031
2021-09-30,0.0101891,0.472338,0.0366024,120.7,0.749289,0.395371,-0.164168,-0.0866252,0.444281,0.23443,-0.638862,-0.337103
