code,model,n,rmse,mae,hit,r2_oos_vs_mean,dm_vs_ar1,dm_p
buyout,mean,57,0.0378724,0.0269064,0.859649,0,0.261524,0.794648
buyout,ar1,57,0.0371783,0.0262231,0.842105,0.0363198,,
buyout,ols,57,0.0219111,0.0179236,0.964912,0.665281,-2.33239,0.0233003
buyout,ridge_dl,57,0.0234159,0.0183169,0.947368,0.617727,-2.18699,0.0329364
buyout,ss_kalman,57,0.0219098,0.0179803,0.929825,0.66532,-2.27455,0.0267837
buyout,ensemble,57,0.0212653,0.0164316,0.947368,0.684721,-2.40081,0.0197057
vc,mean,57,0.0709319,0.0487359,0.842105,0,2.23912,0.0291386
vc,ar1,57,0.0546532,0.0387047,0.789474,0.406327,,
vc,ols,57,0.0469922,0.0298617,0.912281,0.561097,-2.09314,0.0408789
vc,ridge_dl,57,0.0523162,0.0312913,0.912281,0.456014,-0.560312,0.577502
vc,ss_kalman,57,0.0469287,0.0295791,0.894737,0.562284,-2.26389,0.0274738
vc,ensemble,57,0.0487763,0.0298132,0.877193,0.527139,-1.94546,0.0567463
fof_secondary,mean,57,0.0402944,0.0278979,0.877193,0,2.05723,0.0443329
fof_secondary,ar1,57,0.0365438,0.0239179,0.894737,0.177495,,
fof_secondary,ols,57,0.0319972,0.0234538,0.894737,0.369429,-1.15175,0.254317
fof_secondary,ridge_dl,57,0.0341663,0.0220588,0.912281,0.281035,-0.715611,0.477205
fof_secondary,ss_kalman,57,0.0316354,0.0234638,0.894737,0.383608,-1.25713,0.213925
fof_secondary,ensemble,57,0.0314154,0.0217395,0.877193,0.392149,-1.78749,0.0792706
fof_primary,mean,57,0.0413854,0.0287592,0.842105,0,1.66841,0.100817
fof_primary,ar1,57,0.0326741,0.0236805,0.859649,0.37668,,
fof_primary,ols,57,0.0238372,0.0169597,0.894737,0.668248,-2.23377,0.0295098
fof_primary,ridge_dl,57,0.0268561,0.0176211,0.912281,0.578895,-1.80838,0.0759179
fof_primary,ss_kalman,57,0.0239253,0.0169153,0.894737,0.66579,-2.24539,0.0287093
fof_primary,ensemble,57,0.0243117,0.0164296,0.894737,0.654909,-2.46636,0.0167366
senior_loan,mean,44,0.017527,0.0134461,0.840909,0,-0.581219,0.564127
senior_loan,ar1,44,0.0176532,0.0132094,0.840909,-0.014455,,
senior_loan,ols,44,0.0188035,0.0144103,0.818182,-0.150966,0.417714,0.678234
senior_loan,ridge_dl,44,0.0149075,0.0123346,0.818182,0.276574,-1.03165,0.308005
senior_loan,ss_kalman,44,0.0183062,0.0142326,0.818182,-0.0908939,0.244921,0.807683
senior_loan,ensemble,44,0.0150764,0.0124988,0.840909,0.260092,-0.880552,0.383455
mezzanine,mean,57,0.0339169,0.0208726,0.842105,0,-0.426522,0.671363
mezzanine,ar1,57,0.0352275,0.019811,0.824561,-0.0787771,,
mezzanine,ols,57,0.0194349,0.0157383,0.912281,0.671655,-1.46124,0.149539
mezzanine,ridge_dl,57,0.0202636,0.0155626,0.877193,0.643056,-1.56608,0.122963
