,growth,term,inflation,credit
buyout,0.4269,-0.21929,0,0.4832
vc,0.62548,0.18587,0,0.22353
fof_secondary,0.43703,-0.15968,0,-0.058473
fof_primary,0.52345,0.004803,0,0.43209
senior_loan,0.16281,-0.032995,0,0.11829
mezzanine,0.17202,-0.41291,0,1.3115
apac_equity,0.37662,-0.17575,0,0.53892
hfri_fof_cons,0.15531,-0.1609,0,0.16738
msci_gpfi,0.26759,0.091624,0.75421,0
re_noncore,0.31261,0.30972,1.1679,0
gl1,0.049778,0.39298,0,0.1924
gl2,7.2886e-05,-0.043156,0,0.022529
epra_nareit,0.70422,0.43261,0,0.81696
infra_core,0.23014,0.093352,0.25143,0
ftse_fi_infra,0.058785,0.76962,0,0.83399
