base,code,state,n,alpha_q,r2,b_growth,t_growth,b_term,t_term,b_inflation,t_inflation,b_credit,t_credit
reported,buyout,전체,80,0.0226815,0.660653,0.527201,4.40793,-0.0554046,-0.415168,0.421661,1.92625,-0.4431,-1.75024
reported,vc,전체,80,0.0239669,0.351047,0.576844,4.01386,0.017413,0.0813773,0.454465,1.81473,-0.805853,-2.67423
reported,fof_secondary,전체,80,0.0215423,0.436282,0.461044,3.67565,0.0293618,0.209514,0.63927,3.19745,-0.890248,-3.29179
reported,fof_primary,전체,80,0.0161477,0.54586,0.483265,4.60498,0.0378973,0.323968,0.531434,3.21907,-0.733429,-2.75389
reported,senior_loan,전체,64,0.0131412,0.58896,0.215949,3.20475,0.0228749,0.272139,0.213061,1.75045,-0.0906258,-0.552255
reported,mezzanine,전체,80,0.0174163,0.827966,0.188675,2.57736,-0.154425,-1.54091,0.272515,1.33655,0.825151,3.47357
reported,apac_equity,전체,80,0.0184028,0.582149,0.471198,4.06925,0.0341039,0.284355,0.37843,1.73616,-0.158922,-0.618472
reported,hfri_fof_cons,전체,80,0.00463006,0.805033,0.176029,4.5536,-0.0633121,-1.18798,0.269558,2.16865,0.0392993,0.274405
reported,msci_gpfi,전체,68,0.0072234,0.273064,0.304986,1.92067,-0.182138,-0.893894,0.221043,0.692688,-0.59754,-2.40772
reported,re_noncore,전체,80,0.00775976,0.26402,0.545943,2.61812,-0.232939,-1.04345,0.326763,0.731797,-1.24001,-2.33515
reported,gl1,전체,54,0.00506337,0.848022,0.0223173,0.647844,0.469963,9.59551,-0.0674396,-0.828528,0.348721,3.54179
reported,gl2,전체,54,0.0206778,0.0282694,0.00446304,0.0726054,-0.0669659,-1.10623,-0.0494479,-0.302099,0.0349988,0.236934
reported,epra_nareit,전체,80,-0.0108042,0.754826,0.879962,4.99492,0.492853,2.04806,-0.0676883,-0.196115,0.63263,1.16204
reported,infra_core,전체,78,0.00781111,0.424234,0.357992,3.70365,0.10637,0.614791,0.33552,1.33494,-0.323105,-1.86493
reported,ftse_fi_infra,전체,64,0.000338212,0.948273,-0.108281,-3.6316,1.03106,17.2105,0.132507,1.2755,1.41601,17.26
unsmoothed,buyout,전체,80,0.018668,0.691732,0.615348,4.96922,0.00686718,0.0327362,0.573335,1.54318,-0.13179,-0.407174
unsmoothed,vc,전체,80,0.0119603,0.376457,1.03517,4.27563,0.0735472,0.154611,0.470047,0.578928,-0.474212,-0.824798
unsmoothed,fof_secondary,전체,80,0.0174205,0.452439,0.565552,4.12643,0.191783,0.909105,1.00769,2.70246,-0.837786,-2.1581
unsmoothed,fof_primary,전체,80,0.00658619,0.625066,0.78179,5.74742,0.21793,0.860895,0.906163,1.69808,-0.484191,-1.07659
unsmoothed,senior_loan,전체,64,0.0131412,0.58896,0.215949,3.20475,0.0228749,0.272139,0.213061,1.75045,-0.0906258,-0.552255
unsmoothed,mezzanine,전체,80,0.0161391,0.881281,0.104694,1.28391,-0.0796401,-0.67481,0.505595,2.75556,1.47585,5.10635
unsmoothed,apac_equity,전체,80,0.0153705,0.538629,0.539014,2.71374,0.0589838,0.218726,0.533834,0.998232,0.207342,0.654497
unsmoothed,hfri_fof_cons,전체,80,0.00463006,0.805033,0.176029,4.5536,-0.0633121,-1.18798,0.269558,2.16865,0.0392993,0.274405
unsmoothed,msci_gpfi,전체,67,-0.000617352,0.448749,0.444632,2.82307,0.102024,0.416569,0.887132,2.57667,-0.211264,-0.754316
unsmoothed,re_noncore,전체,80,0.000205894,0.272848,0.712583,2.5474,0.156676,0.371344,1.26832,1.03875,-1.23201,-1.3995
unsmoothed,gl1,전체,54,0.00506337,0.848022,0.0223173,0.647844,0.469963,9.59551,-0.0674396,-0.828528,0.348721,3.54179
unsmoothed,gl2,전체,54,0.0206778,0.0282694,0.00446304,0.0726054,-0.0669659,-1.10623,-0.0494479,-0.302099,0.0349988,0.236934
unsmoothed,epra_nareit,전체,80,-0.0108042,0.754826,0.879962,4.99492,0.492853,2.04806,-0.0676883,-0.196115,0.63263,1.16204
unsmoothed,infra_core,전체,78,0.00781111,0.424234,0.357992,3.70365,0.10637,0.614791,0.33552,1.33494,-0.323105,-1.86493
unsmoothed,ftse_fi_infra,전체,64,0.000338212,0.948273,-0.108281,-3.6316,1.03106,17.2105,0.132507,1.2755,1.41601,17.26
