base,code,state,n,alpha_q,r2,b_growth,t_growth,b_term,t_term,b_inflation,t_inflation,b_credit,t_credit
reported,buyout,리스크온,64,0.0274254,0.43252,0.436766,3.1853,-0.185728,-1.0512,0.117089,0.323549,-0.245861,-0.968306
reported,buyout,리스크오프,16,0.016382,0.848096,0.589339,3.77633,0.137724,0.545207,0.682054,2.40991,-0.606507,-2.04527
reported,vc,리스크온,64,0.0317668,0.215348,0.427468,5.02702,-0.409277,-2.29288,0.126989,0.318368,-0.852826,-3.06372
reported,vc,리스크오프,16,0.0229589,0.548281,0.782425,2.0942,0.593739,2.83683,0.900903,2.61324,-1.1247,-1.86185
reported,fof_secondary,리스크온,64,0.0261979,0.280656,0.306012,2.87644,-0.0437219,-0.301072,0.469137,1.45338,-0.445977,-1.4868
reported,fof_secondary,리스크오프,16,0.017074,0.576289,0.597585,2.7024,0.224355,0.816467,0.837976,3.42563,-1.24473,-3.19683
reported,fof_primary,리스크온,64,0.023101,0.346543,0.331146,4.40778,-0.143133,-1.20803,0.464713,1.86141,-0.667293,-3.03067
reported,fof_primary,리스크오프,16,0.00969751,0.732828,0.627651,3.52151,0.313455,1.55495,0.674313,3.38659,-0.928093,-2.5888
reported,senior_loan,리스크온,54,0.0141146,0.536238,0.079238,1.58545,0.179552,2.83299,0.243103,2.26796,0.294543,2.71976
reported,mezzanine,리스크온,64,0.0189054,0.690609,0.137012,1.80468,-0.113309,-0.929455,0.405006,1.91507,0.578477,3.83081
reported,mezzanine,리스크오프,16,0.0216481,0.907717,0.270332,2.57948,-0.3241,-1.69981,0.081456,0.279977,0.848346,3.4363
reported,apac_equity,리스크온,64,0.0203841,0.318735,0.513119,3.11424,-0.116779,-0.562316,0.224323,0.646413,-0.666941,-1.45977
reported,apac_equity,리스크오프,16,0.0189986,0.825405,0.451837,3.8154,0.0710824,0.354237,0.445521,2.26078,0.0581807,0.259334
reported,hfri_fof_cons,리스크온,64,0.00628831,0.718841,0.17315,5.73073,-0.146355,-3.19115,0.00820113,0.100727,0.11022,1.40669
reported,hfri_fof_cons,리스크오프,16,0.000700166,0.881214,0.156243,2.54481,0.0432228,0.350459,0.471645,4.40848,0.0217951,0.115259
reported,msci_gpfi,리스크온,52,0.01212,0.138271,0.0702459,0.780202,0.0210042,0.213057,0.468459,2.08413,-0.273798,-0.899579
reported,msci_gpfi,리스크오프,16,0.00443413,0.38041,0.449139,2.63584,-0.367245,-0.84947,0.0411999,0.0925651,-0.808449,-2.91542
