base,code,state,n,ann_mean,ann_vol,hit,worst_q,t_mean
reported,buyout,성장↑인플레↑,54,0.166244,0.0892927,0.87037,-0.0642,6.84066
reported,buyout,성장↑인플레↓,9,0.145511,0.0539273,0.888889,-0.0102,4.04742
reported,buyout,성장↓인플레↑,15,0.0777067,0.0900374,0.8,-0.1017,1.67129
reported,buyout,성장↓인플레↓,21,0.0726095,0.148604,0.666667,-0.1887,1.11955
reported,vc,성장↑인플레↑,54,0.112852,0.100936,0.777778,-0.133,4.10801
reported,vc,성장↑인플레↓,9,0.0990222,0.107945,0.888889,-0.1076,1.37601
reported,vc,성장↓인플레↑,15,0.0403733,0.123439,0.666667,-0.1303,0.633372
reported,vc,성장↓인플레↓,21,0.0681714,0.205263,0.619048,-0.1505,0.760977
reported,fof_secondary,성장↑인플레↑,54,0.167511,0.0876682,0.907407,-0.0334,7.02051
reported,fof_secondary,성장↑인플레↓,9,0.106978,0.0683667,0.777778,-0.0336,2.34715
reported,fof_secondary,성장↓인플레↑,15,0.0747467,0.0530989,0.866667,-0.0339,2.72597
reported,fof_secondary,성장↓인플레↓,19,0.0658947,0.140291,0.684211,-0.161,1.02369
reported,fof_primary,성장↑인플레↑,54,0.105244,0.0691585,0.814815,-0.0593,5.5914
reported,fof_primary,성장↑인플레↓,9,0.0904889,0.0839462,0.777778,-0.0763,1.61691
reported,fof_primary,성장↓인플레↑,15,0.03504,0.102773,0.6,-0.0711,0.660238
reported,fof_primary,성장↓인플레↓,21,0.039181,0.133128,0.666667,-0.1435,0.674348
reported,senior_loan,성장↑인플레↑,32,0.0682625,0.0511461,0.8125,-0.0718,3.77498
reported,senior_loan,성장↑인플레↓,8,0.08305,0.0472679,0.875,-0.0152,2.48478
reported,senior_loan,성장↓인플레↑,10,0.09644,0.0254807,0.9,-0.004,5.98433
reported,senior_loan,성장↓인플레↓,14,0.0685143,0.0469424,0.785714,-0.0411,2.73055
reported,mezzanine,성장↑인플레↑,54,0.110096,0.070521,0.851852,-0.1002,5.73616
reported,mezzanine,성장↑인플레↓,9,0.102667,0.0558253,0.666667,-0.0094,2.75861
reported,mezzanine,성장↓인플레↑,15,0.111387,0.112954,0.866667,-0.1325,1.90961
reported,mezzanine,성장↓인플레↓,21,0.0864381,0.190995,0.714286,-0.1982,1.03696
reported,apac_equity,성장↑인플레↑,54,0.133452,0.110307,0.777778,-0.0926,4.44518
reported,apac_equity,성장↑인플레↓,9,0.182622,0.0629941,0.888889,-0.0011,4.34856
reported,apac_equity,성장↓인플레↑,15,0.03904,0.101509,0.6,-0.0909,0.744768
reported,apac_equity,성장↓인플레↓,21,0.0925143,0.155435,0.666667,-0.1738,1.36376
reported,hfri_fof_cons,성장↑인플레↑,54,0.0436095,0.0324721,0.814815,-0.0390747,4.93443
reported,hfri_fof_cons,성장↑인플레↓,9,0.0415479,0.036998,0.888889,-0.0323668,1.68447
reported,hfri_fof_cons,성장↓인플레↑,15,0.0381631,0.0540659,0.933333,-0.0835567,1.3669
reported,hfri_fof_cons,성장↓인플레↓,21,0.0187081,0.0778184,0.714286,-0.11475,0.550843
reported,msci_gpfi,성장↑인플레↑,29,0.0891297,0.0474406,0.896552,-0.049177,5.05873
reported,msci_gpfi,성장↑인플레↓,8,0.107092,0.0587382,0.875,-0.001298,2.57842
reported,msci_gpfi,성장↓인플레↑,13,-0.0426969,0.0547317,0.384615,-0.079068,-1.40637
reported,msci_gpfi,성장↓인플레↓,18,-0.0227189,0.10414,0.666667,-0.154965,-0.46278
reported,re_noncore,성장↑인플레↑,54,0.148111,0.080121,0.888889,-0.019,6.79217
reported,re_noncore,성장↑인플레↓,9,0.120711,0.0404708,0.888889,-0.0077,4.474
