base,code,n,start,end,ann_return_geo,ann_mean,ann_vol,sharpe,skew,kurt,worst_q,best_q,max_dd,ac1,hit
reported,buyout,105,2000-03-31,2026-03-31,0.123895,0.123958,0.104835,0.995308,-0.662389,3.05208,-0.1887,0.1756,-0.317008,0.356162,0.790476
reported,vc,105,2000-03-31,2026-03-31,0.0834739,0.0902057,0.138741,0.508799,0.50393,3.5169,-0.1505,0.3329,-0.65679,0.638184,0.72381
reported,fof_secondary,97,2002-03-31,2026-03-31,0.129046,0.127645,0.0962579,1.1461,0.473082,4.57526,-0.161,0.2081,-0.236358,0.395034,0.845361
reported,fof_primary,105,2000-03-31,2026-03-31,0.0692125,0.0716876,0.0926221,0.562211,-0.0698091,2.26592,-0.1435,0.1805,-0.420867,0.598717,0.733333
reported,senior_loan,64,2010-06-30,2026-03-31,0.0755846,0.0745688,0.0459485,1.29877,-1.01674,3.20922,-0.0718,0.0648,-0.0718,-0.0319583,0.828125
reported,mezzanine,105,2000-03-31,2026-03-31,0.101861,0.103935,0.108071,0.780236,-0.192264,7.36296,-0.1982,0.2705,-0.35986,0.299354,0.809524
reported,apac_equity,105,2000-03-31,2026-03-31,0.0985245,0.101928,0.1186,0.694039,-0.0611122,0.876335,-0.1738,0.1766,-0.381402,0.376543,0.714286
reported,hfri_fof_cons,105,2000-03-31,2026-03-31,0.0373678,0.0380241,0.0479131,0.38423,-2.22287,8.96269,-0.11475,0.0583876,-0.198644,0.201782,0.819048
reported,msci_gpfi,68,2008-03-31,2024-12-31,0.0340036,0.0364338,0.0746831,0.328169,-1.77524,6.15009,-0.154965,0.092945,-0.340827,0.637543,0.735294
reported,re_noncore,105,2000-03-31,2026-03-31,0.0685379,0.0726667,0.105728,0.501782,-1.5465,9.37465,-0.269,0.1758,-0.578468,0.593445,0.761905
reported,gl1,54,2012-03-31,2025-06-30,0.0378744,0.0380357,0.0374673,0.605727,-0.600899,0.947273,-0.0441,0.046344,-0.100795,0.0787955,0.759259
reported,gl2,54,2012-03-31,2025-06-30,0.0848955,0.0826129,0.0246145,2.73302,-0.964775,5.28312,-0.0308285,0.0483364,-0.0308285,-0.0278334,0.962963
reported,epra_nareit,105,2000-03-31,2026-03-31,0.0741765,0.0914479,0.194395,0.369522,-0.428402,2.73051,-0.323785,0.359056,-0.643265,0.099299,0.657143
reported,infra_core,78,2006-12-31,2026-03-31,0.0600522,0.0621487,0.0827295,0.558208,-0.752052,1.3222,-0.1083,0.0967,-0.247664,0.12225,0.692308
reported,ftse_fi_infra,64,2010-06-30,2026-03-31,0.0441121,0.0463654,0.0779542,0.40374,-0.00395093,1.38713,-0.0859918,0.137419,-0.203289,0.00809835,0.65625
unsmoothed,buyout,104,2000-06-30,2026-03-31,0.111583,0.118398,0.150485,0.658825,-0.319154,2.24875,-0.236206,0.253958,-0.376229,-0.0663332,0.701923
unsmoothed,vc,104,2000-06-30,2026-03-31,0.0370126,0.0777214,0.282926,0.206651,0.123188,4.69017,-0.523648,0.639144,-0.811329,-0.125754,0.625
unsmoothed,fof_secondary,96,2002-06-30,2026-03-31,0.121404,0.126559,0.147251,0.741848,0.5084,4.13227,-0.244441,0.290753,-0.307375,-0.0553779,0.6875
unsmoothed,fof_primary,104,2000-06-30,2026-03-31,0.0562915,0.0721788,0.1857,0.284998,-0.0182971,1.16868,-0.252713,0.318807,-0.508462,-0.0902875,0.625
unsmoothed,senior_loan,64,2010-06-30,2026-03-31,0.0755846,0.0745688,0.0459485,1.29877,-1.01674,3.20922,-0.0718,0.0648,-0.0718,-0.0319583,0.828125
unsmoothed,mezzanine,104,2000-06-30,2026-03-31,0.0972056,0.104496,0.147832,0.576612,0.35538,8.80848,-0.226271,0.404274,-0.416351,0.0448927,0.778846
unsmoothed,apac_equity,104,2000-06-30,2026-03-31,0.0885158,0.100977,0.177025,0.461644,0.0488247,0.38614,-0.223855,0.239657,-0.45431,-0.043885,0.605769
unsmoothed,hfri_fof_cons,105,2000-03-31,2026-03-31,0.0373678,0.0380241,0.0479131,0.38423,-2.22287,8.96269,-0.11475,0.0583876,-0.198644,0.201782,0.819048
unsmoothed,msci_gpfi,67,2008-06-30,2024-12-31,0.0225639,0.0356314,0.159902,0.149106,-0.79067,3.83322,-0.288434,0.252657,-0.471738,0.0243427,0.58209
unsmoothed,re_noncore,104,2000-06-30,2026-03-31,0.0465585,0.0699051,0.210413,0.24072,-0.619496,8.56401,-0.516756,0.413424,-0.738643,-0.132359,0.625
unsmoothed,gl1,54,2012-03-31,2025-06-30,0.0378744,0.0380357,0.0374673,0.605727,-0.600899,0.947273,-0.0441,0.046344,-0.100795,0.0787955,0.759259
unsmoothed,gl2,54,2012-03-31,2025-06-30,0.0848955,0.0826129,0.0246145,2.73302,-0.964775,5.28312,-0.0308285,0.0483364,-0.0308285,-0.0278334,0.962963
unsmoothed,epra_nareit,105,2000-03-31,2026-03-31,0.0741765,0.0914479,0.194395,0.369522,-0.428402,2.73051,-0.323785,0.359056,-0.643265,0.099299,0.657143
unsmoothed,infra_core,78,2006-12-31,2026-03-31,0.0600522,0.0621487,0.0827295,0.558208,-0.752052,1.3222,-0.1083,0.0967,-0.247664,0.12225,0.692308
unsmoothed,ftse_fi_infra,64,2010-06-30,2026-03-31,0.0441121,0.0463654,0.0779542,0.40374,-0.00395093,1.38713,-0.0859918,0.137419,-0.203289,0.00809835,0.65625
