,growth,term,inflation,credit,w
buyout,0.020329,-0.010443,0,0.02301,0.047619
vc,0.05957,0.017702,0,0.021289,0.095238
fof_secondary,0.041622,-0.015207,0,-0.0055688,0.095238
fof_primary,0.024926,0.00022872,0,0.020576,0.047619
senior_loan,0.0077526,-0.0015712,0,0.0056327,0.047619
mezzanine,0.0081916,-0.019662,0,0.062452,0.047619
apac_equity,0.017934,-0.0083692,0,0.025663,0.047619
hfri_fof_cons,0.0073956,-0.007662,0,0.0079703,0.047619
msci_gpfi,0.025485,0.0087261,0.071829,0,0.095238
re_noncore,0.014886,0.014748,0.055617,0,0.047619
gl1,0.0023704,0.018714,0,0.0091617,0.047619
gl2,3.4708e-06,-0.002055,0,0.0010728,0.047619
epra_nareit,0.033534,0.0206,0,0.038903,0.047619
infra_core,0.043837,0.017781,0.047892,0,0.19048
ftse_fi_infra,0.0027993,0.036649,0,0.039714,0.047619
