,growth,term,inflation,credit,w
buyout,0.10673,-0.054823,0,0.1208,0.25
vc,0.062548,0.018587,0,0.022353,0.1
fof_secondary,0.021851,-0.0079838,0,-0.0029236,0.05
fof_primary,0.052345,0.0004803,0,0.043209,0.1
senior_loan,0.019537,-0.0039594,0,0.014194,0.12
mezzanine,0.013762,-0.033032,0,0.10492,0.08
msci_gpfi,0.026759,0.0091624,0.075421,0,0.1
re_noncore,0.015631,0.015486,0.058397,0,0.05
gl1,0.0024889,0.019649,0,0.0096198,0.05
infra_core,0.013809,0.0056011,0.015086,0,0.06
ftse_fi_infra,0.0023514,0.030785,0,0.033359,0.04
