date,growth,term,inflation,credit
2016-12-31,0.13797,-0.021202,0.089636,0.13698
2017-03-31,0.13942,-0.011731,0.080127,0.13887
2017-06-30,0.15355,0.00060171,0.059306,0.13329
2017-09-30,0.15801,0.0055808,0.061131,0.16771
2017-12-31,0.16238,0.004439,0.070783,0.15474
2018-03-31,0.17279,-0.0065511,0.068795,0.12846
2018-06-30,0.17988,-0.031227,0.064253,0.0044803
2018-09-30,0.17791,-0.027093,0.06601,-0.010631
2018-12-31,0.14611,-0.01688,0.07171,0.030875
2019-03-31,0.14027,-0.0062734,0.071861,0.092121
2019-06-30,0.13939,-0.00078757,0.069125,0.10171
2019-09-30,0.14074,-0.034394,0.051639,0.083681
2019-12-31,0.14012,-0.060774,0.050146,0.16144
2020-03-31,0.15853,-0.15479,0.069546,0.26333
2020-06-30,0.16841,-0.11659,0.060163,0.29804
2020-09-30,0.18061,-0.11008,0.07838,0.29089
2020-12-31,0.22395,-0.17438,0.079267,0.2774
2021-03-31,0.23439,-0.065558,0.050583,0.30201
2021-06-30,0.23966,-0.031595,0.056502,0.30664
2021-09-30,0.23708,-0.034533,0.065245,0.31096
2021-12-31,0.22032,-0.11719,0.079943,0.31489
2022-03-31,0.25503,0.064433,0.078635,0.33923
2022-06-30,0.2498,0.11204,0.10998,0.36136
2022-09-30,0.24497,0.12514,0.13145,0.36882
2022-12-31,0.23257,0.10885,0.13229,0.35469
2023-03-31,0.23332,0.11574,0.12966,0.35769
2023-06-30,0.22781,0.1341,0.13691,0.36812
2023-09-30,0.23253,0.15357,0.13498,0.36717
2023-12-31,0.24358,0.11097,0.16151,0.35047
2024-03-31,0.24137,0.12399,0.16061,0.35925
2024-06-30,0.24101,0.1232,0.16441,0.35906
2024-09-30,0.24002,0.13814,0.15549,0.36275
