date,growth,term,inflation,credit
2016-12-31,0.14733,-0.056522,0.039345,0.18065
2017-03-31,0.15281,-0.051425,0.037437,0.18317
2017-06-30,0.16594,-0.03804,0.027953,0.17913
2017-09-30,0.16855,-0.032982,0.028911,0.21889
2017-12-31,0.17124,-0.03429,0.032533,0.22002
2018-03-31,0.18419,-0.046178,0.030471,0.16426
2018-06-30,0.18969,-0.07338,0.022261,0.046904
2018-09-30,0.1824,-0.068337,0.023462,0.038117
2018-12-31,0.15593,-0.059457,0.02942,0.068003
2019-03-31,0.14842,-0.051382,0.029932,0.12021
2019-06-30,0.14699,-0.040421,0.025108,0.13718
2019-09-30,0.14707,-0.074018,0.018705,0.10525
2019-12-31,0.1485,-0.10068,0.02442,0.18335
2020-03-31,0.1684,-0.20526,0.045744,0.33543
2020-06-30,0.19049,-0.13437,0.041567,0.40664
2020-09-30,0.20863,-0.13045,0.055774,0.39523
2020-12-31,0.25243,-0.20188,0.057069,0.3786
2021-03-31,0.26043,-0.11578,0.036739,0.39781
2021-06-30,0.2659,-0.077916,0.043351,0.40421
2021-09-30,0.26312,-0.080328,0.052751,0.40921
2021-12-31,0.24499,-0.17419,0.067526,0.41263
2022-03-31,0.28526,0.036214,0.065958,0.4427
2022-06-30,0.28075,0.08513,0.08547,0.46858
2022-09-30,0.27499,0.091274,0.101,0.478
2022-12-31,0.26437,0.078961,0.10282,0.46999
2023-03-31,0.2638,0.08368,0.10151,0.47438
2023-06-30,0.25722,0.10606,0.10752,0.4859
2023-09-30,0.26398,0.13299,0.10608,0.48394
2023-12-31,0.27459,0.073594,0.13105,0.46014
2024-03-31,0.2732,0.093746,0.12951,0.4746
2024-06-30,0.27279,0.092811,0.1331,0.47482
2024-09-30,0.26885,0.099945,0.13058,0.48031
