,growth_l0,term_l0,inflation_l0,credit_l0,growth_l1,term_l1,inflation_l1,credit_l1,growth_l2,term_l2,inflation_l2,credit_l2,growth_l3,term_l3,inflation_l3,credit_l3,growth_l4,term_l4,inflation_l4,credit_l4,y_l1
buyout,0.262758,0.0163854,0.425276,0.190365,0.00878191,-0.0143172,-0.0564354,0.0586643,0.0761163,-0.0869141,-0.00680338,-0.136334,0.0175694,0.052965,-0.0198441,0.0715119,-0.000215277,0.00864439,-0.0840335,0.186972,0.276959
vc,0.274866,-0.0206738,0.23759,0.0168218,0.0637671,0.155533,-0.317541,0.0900085,0.0980814,0.0149689,0.0444517,-0.0354919,0.0880407,0.152434,-0.0161198,-0.294598,0.00889744,0.140697,0.099595,0.173898,0.464854
fof_secondary,0.187088,0.0352775,0.489748,-0.0957483,0.086578,0.0337741,-0.1119,0.226413,0.0752734,-0.0542335,0.0457091,-0.0156676,0.0690932,0.0423049,0.119535,-0.230433,0.0372233,0.0845277,-0.0074202,0.238231,0.251895
fof_primary,0.227375,0.0207379,0.312967,0.0156378,0.0265705,0.0229987,-0.228724,0.0601527,0.0673498,-0.0244839,-0.0113129,-0.0315935,0.0179529,0.0944634,-0.067774,0.0140036,0.0473694,0.0541237,-0.107404,0.0283203,0.457613
senior_loan,0.0629939,-0.00347135,0.118021,0.12282,-0.000274995,-0.00442183,0.0139305,0.0303853,-0.00316846,0.0179023,-0.0491787,-0.00738244,-0.00743929,-0.00597041,-0.00302848,-0.012225,-0.013524,-0.0263849,0.0401805,0.00838048,-0.0241435
mezzanine,0.158028,-0.136829,0.385828,0.551259,-0.0262421,-0.0103545,0.205441,0.0971117,0.000270394,0.0323234,-0.0324172,0.0408277,-0.004449,0.00985205,-0.0798006,0.00394639,-0.0285345,-0.0282351,0.0575264,0.0511285,0.0998835
apac_equity,0.208503,-0.0330898,0.31197,0.254487,0.00459709,0.0377038,-0.0780061,0.119995,0.0533203,-0.0190259,-0.224023,0.108257,-0.00338613,0.0575255,-0.0394659,0.00282415,0.0290854,0.0586528,-0.0986903,0.188113,0.145694
hfri_fof_cons,0.106383,-0.0668902,0.239495,0.211691,0.0206123,0.0297089,-0.0992694,0.0332801,0.0459245,-0.0383095,0.0139741,-0.0411733,0.0158633,0.0171406,-0.0589066,0.0669803,0.0291119,-0.0342047,0.0198124,-0.0176216,0.0894423
msci_gpfi,0.082492,-0.076669,0.169038,0.0746802,0.00317817,0.0540836,0.0439815,0.0596406,0.055319,0.0428542,0.0157318,0.0241079,0.0307743,-0.0349132,-0.00688085,0.0397357,0.0351337,0.0046886,-0.0209356,0.133072,0.38831
re_noncore,0.0994383,-0.0341516,0.297029,0.00712142,0.0325928,0.0654591,-0.04549,0.167503,0.058275,-0.0462134,0.0918004,-0.111003,0.0694642,-0.0278971,-0.115321,0.220772,0.0432909,-0.0949457,0.144455,0.127079,0.39739
gl1,0.0508882,0.404259,-0.157498,0.356181,0.000383088,-0.0139805,0.0517822,0.0186905,0.0209332,0.0248139,-0.0248504,-0.0140789,-0.0106064,-0.0412459,-0.0911513,0.128015,0.037027,-0.00190096,0.0143327,-0.0413277,-0.000876486
gl2,0.000989538,-0.0175234,0.0086302,0.00966259,0.00228017,0.0127203,-0.027279,0.011652,-0.00151561,-0.0023864,0.0102284,-0.00292375,-0.0027233,-0.025172,0.0190776,0.00320019,0.00821787,0.0193339,0.00302389,0.012725,-0.00216107
epra_nareit,0.615155,0.504001,0.238241,0.830012,-0.150996,-0.11355,0.455394,0.511441,-0.0167937,0.299201,0.19454,0.164477,0.053872,0.0783671,-0.0608182,-0.0210474,0.0212235,-0.180306,-0.130457,0.0290996,-0.0582224
infra_core,0.100217,-0.00649601,0.143563,0.114238,0.0132168,-0.0377815,0.0692257,0.00255059,0.0154503,-0.0307991,-0.0485541,-0.00051836,0.00612898,0.00226044,-0.0216056,-0.00204667,0.0120229,-0.0483992,0.0246528,0.0562709,0.0394144
ftse_fi_infra,-0.122139,1.05915,0.169144,1.40336,0.0648415,-0.116708,0.0252504,-0.336085,-0.00787873,-0.0393152,0.0323984,0.118156,-0.00710207,-0.0188983,0.0373767,-0.0257375,-0.029729,0.015465,0.078251,0.0748342,0.169039
