,alpha_m,theta,sigma_eta_m,llf,beta_growth,beta_reported_growth,beta_term,beta_reported_term,beta_inflation,beta_reported_inflation,beta_credit,beta_reported_credit
buyout,0.00675359,0.299326,0.0201266,183.454,0.552003,0.386774,0.0598374,0.0419265,0.616065,0.43166,-0.11611,-0.0813549
vc,0.00609198,0.5017,0.0418782,152.104,0.77413,0.385749,0.10766,0.0536471,0.459416,0.228927,-0.484689,-0.24152
fof_secondary,0.00617182,0.396864,0.0263731,173.822,0.514082,0.310061,0.250701,0.151207,1.05568,0.636719,-0.740786,-0.446795
fof_primary,0.0039326,0.488963,0.0225293,199.681,0.612747,0.313136,0.215921,0.110344,0.791467,0.404469,-0.447268,-0.228571
senior_loan,0.00444831,0.0199622,0.00853303,177.445,0.217992,0.21364,0.030449,0.0298412,0.206642,0.202517,-0.0882964,-0.0865338
mezzanine,0.00530938,0.269917,0.0142739,207.654,0.123183,0.0899338,-0.0619082,-0.0451982,0.584721,0.426895,1.28952,0.94146
apac_equity,0.0059313,0.178278,0.0233831,158.708,0.462218,0.379815,0.0846522,0.0695606,0.482547,0.39652,-0.00383652,-0.00315255
hfri_fof_cons,0.0015883,0.0883136,0.00701769,246.683,0.163439,0.149005,-0.0326177,-0.0297371,0.309478,0.282147,0.121983,0.11121
msci_gpfi,-0.000568833,0.713936,0.0423831,163.768,0.43965,0.125768,0.311861,0.0892123,1.3111,0.375058,0.0683703,0.0195583
re_noncore,-0.000212667,0.629148,0.0563617,151.974,0.691521,0.256452,0.474234,0.175871,1.96932,0.730327,-1.25531,-0.465534
gl1,0.0017925,2.99376e-05,0.00405216,187.64,0.0240447,0.024044,0.474515,0.474501,-0.0650891,-0.0650871,0.333252,0.333242
gl2,0.00675827,0.02,0.00702785,159.521,0.0161895,0.0158657,-0.0732008,-0.0717368,-0.0521875,-0.0511437,0.0179198,0.0175614
epra_nareit,-0.0047291,0.0663069,0.031579,124.45,0.960033,0.896376,0.589219,0.55015,0.106994,0.0998995,0.56635,0.528797
infra_core,0.00285595,0.0828402,0.0186229,161.822,0.397701,0.364756,0.087963,0.0806761,0.23656,0.216964,-0.284952,-0.261347
ftse_fi_infra,0.000164378,0.0199787,0.00516576,209.014,-0.112464,-0.110217,1.0631,1.04186,0.134867,0.132173,1.39245,1.36463
