date,R1_경기,R3_통화정책,R4_위험선호,R5_서사,R2_성장인플레
1999-03-31,확장,동결,리스크오프,,
1999-06-30,확장,동결,리스크온,,
1999-09-30,확장,인상,리스크오프,,
1999-12-31,확장,동결,리스크온,,
2000-03-31,확장,인상,리스크온,,
2000-06-30,확장,인상,리스크오프,,
2000-09-30,확장,동결,리스크온,,
2000-12-31,확장,동결,리스크오프,,
2001-03-31,확장,인하,리스크오프,,
2001-06-30,침체,인하,리스크온,,
2001-09-30,침체,인하,리스크온,,성장↓인플레↓
2001-12-31,침체,인하,리스크오프,,성장↓인플레↓
2002-03-31,확장,인하,리스크온,,성장↓인플레↓
2002-06-30,확장,동결,리스크온,,성장↓인플레↑
2002-09-30,확장,동결,리스크오프,,성장↑인플레↑
2002-12-31,확장,인하,리스크오프,,성장↑인플레↓
2003-03-31,확장,동결,리스크오프,확장기,성장↑인플레↑
2003-06-30,확장,동결,리스크온,확장기,성장↓인플레↑
2003-09-30,확장,동결,리스크온,확장기,성장↑인플레↑
2003-12-31,확장,동결,리스크온,확장기,성장↑인플레↑
2004-03-31,확장,동결,리스크온,확장기,성장↑인플레↑
2004-06-30,확장,동결,리스크온,확장기,성장↑인플레↑
2004-09-30,확장,인상,리스크온,확장기,성장↑인플레↑
2004-12-31,확장,인상,리스크온,확장기,성장↑인플레↑
2005-03-31,확장,인상,리스크온,확장기,성장↑인플레↑
2005-06-30,확장,인상,리스크온,확장기,성장↑인플레↑
2005-09-30,확장,인상,리스크온,확장기,성장↑인플레↑
2005-12-31,확장,인상,리스크온,확장기,성장↑인플레↑
2006-03-31,확장,인상,리스크온,확장기,성장↑인플레↑
2006-06-30,확장,인상,리스크온,확장기,성장↑인플레↑
2006-09-30,확장,인상,리스크온,확장기,성장↑인플레↑
2006-12-31,확장,동결,리스크온,확장기,성장↑인플레↑
2007-03-31,확장,동결,리스크온,확장기,성장↑인플레↑
2007-06-30,확장,동결,리스크온,확장기,성장↑인플레↑
2007-09-30,확장,동결,리스크온,확장기,성장↑인플레↑
2007-12-31,확장,인하,리스크온,확장기,성장↑인플레↑
2008-03-31,침체,인하,리스크오프,금융위기,성장↑인플레↑
2008-06-30,침체,인하,리스크온,금융위기,성장↓인플레↑
2008-09-30,침체,동결,리스크오프,금융위기,성장↓인플레↑
2008-12-31,침체,인하,리스크오프,금융위기,성장↓인플레↓
2009-03-31,침체,동결,리스크오프,금융위기,성장↓인플레↓
2009-06-30,침체,동결,리스크오프,금융위기,성장↓인플레↓
2009-09-30,확장,동결,리스크오프,금융위기,성장↓인플레↓
2009-12-31,확장,동결,리스크온,금융위기,성장↓인플레↑
2010-03-31,확장,동결,리스크온,양적완화·유럽위기·테이퍼,성장↑인플레↑
2010-06-30,확장,동결,리스크오프,양적완화·유럽위기·테이퍼,성장↑인플레↑
2010-09-30,확장,동결,리스크오프,양적완화·유럽위기·테이퍼,성장↑인플레↓
2010-12-31,확장,동결,리스크온,양적완화·유럽위기·테이퍼,성장↑인플레↑
2011-03-31,확장,동결,리스크온,양적완화·유럽위기·테이퍼,성장↑인플레↑
2011-06-30,확장,동결,리스크온,양적완화·유럽위기·테이퍼,성장↑인플레↑
2011-09-30,확장,동결,리스크오프,양적완화·유럽위기·테이퍼,성장↑인플레↑
2011-12-31,확장,동결,리스크오프,양적완화·유럽위기·테이퍼,성장↑인플레↑
2012-03-31,확장,동결,리스크온,양적완화·유럽위기·테이퍼,성장↑인플레↑
2012-06-30,확장,동결,리스크온,양적완화·유럽위기·테이퍼,성장↑인플레↑
2012-09-30,확장,동결,리스크온,양적완화·유럽위기·테이퍼,성장↑인플레↑
2012-12-31,확장,동결,리스크온,양적완화·유럽위기·테이퍼,성장↑인플레↑
2013-03-31,확장,동결,리스크온,양적완화·유럽위기·테이퍼,성장↑인플레↑
2013-06-30,확장,동결,리스크온,양적완화·유럽위기·테이퍼,성장↑인플레↑
2013-09-30,확장,동결,리스크온,양적완화·유럽위기·테이퍼,성장↑인플레↑
2013-12-31,확장,동결,리스크온,양적완화·유럽위기·테이퍼,성장↑인플레↑
2014-03-31,확장,동결,리스크온,디스인플레·유가급락,성장↑인플레↑
2014-06-30,확장,동결,리스크온,디스인플레·유가급락,성장↑인플레↑
2014-09-30,확장,동결,리스크온,디스인플레·유가급락,성장↑인플레↑
2014-12-31,확장,동결,리스크온,디스인플레·유가급락,성장↑인플레↓
2015-03-31,확장,동결,리스크온,디스인플레·유가급락,성장↑인플레↓
2015-06-30,확장,동결,리스크온,디스인플레·유가급락,성장↓인플레↓
2015-09-30,확장,동결,리스크온,디스인플레·유가급락,성장↓인플레↓
2015-12-31,확장,동결,리스크온,디스인플레·유가급락,성장↓인플레↓
2016-03-31,확장,동결,리스크온,디스인플레·유가급락,성장↓인플레↓
2016-06-30,확장,동결,리스크온,디스인플레·유가급락,성장↓인플레↓
2016-09-30,확장,동결,리스크온,디스인플레·유가급락,성장↓인플레↓
2016-12-31,확장,동결,리스크온,디스인플레·유가급락,성장↓인플레↓
2017-03-31,확장,동결,리스크온,후기 사이클,성장↓인플레↑
2017-06-30,확장,동결,리스크온,후기 사이클,성장↑인플레↓
2017-09-30,확장,동결,리스크온,후기 사이클,성장↑인플레↓
2017-12-31,확장,동결,리스크온,후기 사이클,성장↑인플레↓
2018-03-31,확장,인상,리스크온,후기 사이클,성장↑인플레↑
2018-06-30,확장,인상,리스크온,후기 사이클,성장↑인플레↑
2018-09-30,확장,동결,리스크온,후기 사이클,성장↑인플레↑
2018-12-31,확장,인상,리스크온,후기 사이클,성장↑인플레↓
2019-03-31,확장,동결,리스크온,후기 사이클,성장↑인플레↓
2019-06-30,확장,동결,리스크온,후기 사이클,성장↓인플레↓
2019-09-30,확장,인하,리스크온,후기 사이클,성장↓인플레↓
2019-12-31,확장,인하,리스크온,후기 사이클,성장↓인플레↓
2020-03-31,확장,인하,리스크온,코로나,성장↓인플레↓
