date,buyout|const,buyout|growth,buyout|term,buyout|inflation,buyout|credit,buyout|r2,buyout|n,vc|const,vc|growth,vc|term,vc|inflation,vc|credit,vc|r2,vc|n,fof_secondary|const,fof_secondary|growth,fof_secondary|term,fof_secondary|inflation,fof_secondary|credit,fof_secondary|r2,fof_secondary|n,fof_primary|const,fof_primary|growth,fof_primary|term,fof_primary|inflation,fof_primary|credit,fof_primary|r2,fof_primary|n,senior_loan|const,senior_loan|growth,senior_loan|term,senior_loan|inflation,senior_loan|credit,senior_loan|r2,senior_loan|n,mezzanine|const,mezzanine|growth,mezzanine|term,mezzanine|inflation,mezzanine|credit,mezzanine|r2,mezzanine|n,apac_equity|const,apac_equity|growth,apac_equity|term,apac_equity|inflation,apac_equity|credit,apac_equity|r2,apac_equity|n,hfri_fof_cons|const,hfri_fof_cons|growth,hfri_fof_cons|term,hfri_fof_cons|inflation,hfri_fof_cons|credit,hfri_fof_cons|r2,hfri_fof_cons|n,msci_gpfi|const,msci_gpfi|growth,msci_gpfi|term,msci_gpfi|inflation,msci_gpfi|credit,msci_gpfi|r2,msci_gpfi|n,re_noncore|const,re_noncore|growth,re_noncore|term,re_noncore|inflation,re_noncore|credit,re_noncore|r2,re_noncore|n,gl1|const,gl1|growth,gl1|term,gl1|inflation,gl1|credit,gl1|r2,gl1|n,gl2|const,gl2|growth,gl2|term,gl2|inflation,gl2|credit,gl2|r2,gl2|n,epra_nareit|const,epra_nareit|growth,epra_nareit|term,epra_nareit|inflation,epra_nareit|credit,epra_nareit|r2,epra_nareit|n,infra_core|const,infra_core|growth,infra_core|term,infra_core|inflation,infra_core|credit,infra_core|r2,infra_core|n,ftse_fi_infra|const,ftse_fi_infra|growth,ftse_fi_infra|term,ftse_fi_infra|inflation,ftse_fi_infra|credit,ftse_fi_infra|r2,ftse_fi_infra|n
2010-03-31,0.023852,1.0055,-0.30803,0.3392,-1.2396,0.81019,16,0.011946,0.58731,-0.363,0.17198,-0.93064,0.81736,16,0.016691,0.83517,-0.048281,0.6911,-1.5468,0.83409,16,0.0039988,0.73721,0.27002,0.72184,-1.1586,0.84598,16,,,,,,,,0.031772,0.55944,-0.39174,0.046831,0.5634,0.96606,16,0.032338,0.85008,-0.24152,0.46045,-0.74801,0.7816,16,-0.00047918,0.32238,0.1024,0.52529,-0.25416,0.87672,16,,,,,,,,-0.025116,1.3463,-0.30928,0.56361,-2.5945,0.63619,16,,,,,,,,,,,,,,,-0.0035721,1.4161,-0.23921,-0.5953,0.034738,0.85346,16,,,,,,,,,,,,,,
2010-06-30,0.023551,0.87528,0.07253,0.50366,-0.97881,0.73919,17,0.011749,0.50172,-0.11288,0.28007,-0.75924,0.71397,17,0.01641,0.7136,0.30699,0.84463,-1.3034,0.71983,17,0.0038431,0.66983,0.46694,0.80694,-1.0236,0.80437,17,,,,,,,,0.031585,0.47847,-0.15514,0.14908,0.72554,0.94989,17,0.032051,0.72568,0.12203,0.61756,-0.49888,0.72742,17,-0.00057116,0.28258,0.21873,0.57556,-0.17444,0.85222,17,,,,,,,,-0.025695,1.0958,0.42288,0.88001,-2.0928,0.471,17,,,,,,,,,,,,,,,-0.0038298,1.3045,0.086784,-0.45443,0.25813,0.84215,17,,,,,,,,,,,,,,
2010-09-30,0.023334,0.79064,-0.027582,0.49474,-0.89307,0.7237,18,0.011676,0.47325,-0.14656,0.27707,-0.7304,0.71465,18,0.016292,0.66765,0.25264,0.83979,-1.2568,0.71659,18,0.0037681,0.64062,0.4324,0.80387,-0.99404,0.81041,18,,,,,,,,0.031381,0.39925,-0.24884,0.14073,0.8058,0.93941,18,0.032005,0.70793,0.10104,0.61569,-0.4809,0.73766,18,-0.0006156,0.26527,0.19827,0.57374,-0.15691,0.8513,18,,,,,,,,-0.025849,1.0359,0.35205,0.8737,-2.0321,0.48062,18,,,,,,,,,,,,,,,-0.0038976,1.2781,0.05555,-0.45721,0.28488,0.85277,18,-0.017365,0.39795,1.0244,0.93503,-0.3167,0.57312,16,,,,,,,
2010-12-31,0.021106,0.77899,0.040628,0.51365,-0.85759,0.726,19,0.014308,0.48701,-0.22712,0.25473,-0.7723,0.73808,19,0.018641,0.67993,0.18074,0.81986,-1.2942,0.73367,19,0.0056344,0.65038,0.37528,0.78803,-1.0238,0.81763,19,,,,,,,,0.027752,0.38027,-0.13777,0.17153,0.86357,0.93429,19,0.032812,0.71215,0.076332,0.60884,-0.49375,0.74797,19,-0.0014707,0.2608,0.22444,0.58099,-0.1433,0.85213,19,,,,,,,,-0.022263,1.0546,0.24229,0.84327,-2.0892,0.5014,19,,,,,,,,,,,,,,,-0.0069609,1.2621,0.14932,-0.43122,0.33365,0.852,19,-0.016182,0.40332,0.98935,0.92538,-0.33421,0.57305,17,,,,,,,
2011-03-31,0.021402,0.77979,0.040878,0.51848,-0.86043,0.72834,20,0.014382,0.48721,-0.22706,0.25594,-0.77302,0.74049,20,0.018188,0.67871,0.18036,0.81248,-1.2899,0.73353,20,0.0060852,0.6516,0.37566,0.79537,-1.0281,0.81934,20,,,,,,,,0.027328,0.37912,-0.13812,0.16462,0.86762,0.9341,20,0.029837,0.70411,0.073827,0.56043,-0.46534,0.72651,20,-0.0019839,0.25941,0.22401,0.57264,-0.1384,0.84918,20,,,,,,,,-0.020642,1.059,0.24366,0.86965,-2.1047,0.50511,20,,,,,,,,,,,,,,,-0.007586,1.2604,0.14879,-0.44138,0.33962,0.85178,20,-0.013817,0.40928,0.9907,0.96,-0.35528,0.5662,18,,,,,,,
2011-06-30,0.017002,0.79615,0.18767,0.58918,-0.85594,0.74878,20,0.016405,0.48977,-0.13388,0.34487,-0.79276,0.6902,20,0.01577,0.6873,0.25462,0.84649,-1.2867,0.74466,20,0.0040802,0.66045,0.46479,0.84439,-1.0285,0.82757,20,,,,,,,,0.023188,0.39,-0.071946,0.17677,0.87976,0.94709,20,0.029689,0.70129,0.025025,0.52219,-0.45927,0.72434,20,-0.0026029,0.25918,0.20428,0.55207,-0.13332,0.8449,20,,,,,,,,-0.024314,1.0762,0.42215,0.97097,-2.1071,0.51275,20,,,,,,,,,,,,,,,-0.0088491,1.2683,0.24096,-0.38328,0.3354,0.85097,20,-0.013693,0.41031,1.0068,0.97267,-0.35753,0.57045,19,,,,,,,
2011-09-30,0.017117,0.78297,0.28649,0.6311,-0.82551,0.76387,20,0.016363,0.45191,0.033526,0.42298,-0.72675,0.64947,20,0.015535,0.63074,0.4508,0.94359,-1.198,0.69337,20,0.0040651,0.63889,0.56286,0.88987,-0.99037,0.8221,20,,,,,,,,0.023275,0.38567,-0.024015,0.19616,0.8926,0.95118,20,0.030302,0.70887,0.18072,0.57528,-0.43773,0.75872,20,-0.0026162,0.24929,0.24727,0.57221,-0.11621,0.84897,20,,,,,,,,-0.024878,0.97569,0.72464,1.1268,-1.9579,0.4595,20,,,,,,,,,,,,,,,-0.0093374,1.2291,0.27485,-0.35307,0.37809,0.85926,20,-0.013462,0.47841,0.75445,0.84989,-0.46729,0.57049,20,,,,,,,
2011-12-31,0.0054028,0.66056,0.56543,0.96079,-0.67841,0.83646,20,0.01092,0.39448,0.1603,0.57293,-0.65721,0.66739,20,0.0079209,0.54483,0.59979,1.1209,-1.0888,0.70705,20,-0.00050037,0.58191,0.62438,0.96441,-0.91314,0.80321,20,,,,,,,,0.020903,0.35547,0.0048616,0.23136,0.93402,0.9492,20,0.024192,0.62588,0.22877,0.63586,-0.31993,0.7198,20,-0.0064122,0.20644,0.32145,0.66051,-0.06171,0.86606,20,-0.01708,0.6539,0.80409,0.86197,-1.0039,0.60344,16,-0.039552,0.83518,1.1392,1.6143,-1.8012,0.51666,20,,,,,,,,,,,,,,,-0.012237,1.1993,0.34631,-0.2687,0.41349,0.85676,20,-0.0090107,0.51276,0.58658,0.65388,-0.49711,0.60453,20,,,,,,,
2012-03-31,0.0037872,0.65093,0.57472,0.96168,-0.66306,0.84043,20,0.012022,0.40088,0.1559,0.57422,-0.66842,0.68382,20,0.0063336,0.5338,0.62567,1.1382,-1.08,0.6973,20,-0.0017293,0.57448,0.63252,0.96614,-0.90187,0.80468,20,,,,,,,,0.017869,0.33594,0.037688,0.24809,0.95703,0.94688,20,0.021057,0.60377,0.28356,0.67357,-0.30405,0.70508,20,-0.0077576,0.19915,0.32121,0.65344,-0.045907,0.8858,20,-0.017105,0.65369,0.80443,0.86217,-1.0036,0.61245,17,-0.043322,0.81694,1.1152,1.5716,-1.748,0.53898,20,,,,,,,,,,,,,,,-0.014431,1.1875,0.34528,-0.28085,0.4395,0.86416,20,-0.0052938,0.53756,0.537,0.62423,-0.52177,0.61622,20,,,,,,,
2012-06-30,-0.0026153,0.59565,0.76849,1.0863,-0.53313,0.87127,20,0.0082357,0.36986,0.26497,0.6447,-0.59512,0.68969,20,0.0045501,0.50857,0.71206,1.1918,-1.023,0.68688,20,-0.0040859,0.54871,0.7217,1.0224,-0.84258,0.80452,20,,,,,,,,0.016787,0.31451,0.11027,0.29238,1.0046,0.9453,20,0.0099916,0.5276,0.55459,0.85173,-0.12047,0.74991,20,-0.010562,0.17863,0.39391,0.70093,0.0031923,0.90738,20,-0.016436,0.64677,0.84585,0.88811,-0.99125,0.60271,18,-0.046126,0.76385,1.2952,1.6817,-1.6301,0.51678,20,,,,,,,,,,,,,,,0.0013488,1.2588,0.08146,-0.46336,0.25645,0.88633,20,-0.0053547,0.53202,0.55534,0.63504,-0.50994,0.61198,20,,,,,,,
