date,buyout|const,buyout|growth,buyout|term,buyout|inflation,buyout|credit,buyout|r2,buyout|n,vc|const,vc|growth,vc|term,vc|inflation,vc|credit,vc|r2,vc|n,fof_secondary|const,fof_secondary|growth,fof_secondary|term,fof_secondary|inflation,fof_secondary|credit,fof_secondary|r2,fof_secondary|n,fof_primary|const,fof_primary|growth,fof_primary|term,fof_primary|inflation,fof_primary|credit,fof_primary|r2,fof_primary|n,senior_loan|const,senior_loan|growth,senior_loan|term,senior_loan|inflation,senior_loan|credit,senior_loan|r2,senior_loan|n,mezzanine|const,mezzanine|growth,mezzanine|term,mezzanine|inflation,mezzanine|credit,mezzanine|r2,mezzanine|n,apac_equity|const,apac_equity|growth,apac_equity|term,apac_equity|inflation,apac_equity|credit,apac_equity|r2,apac_equity|n,hfri_fof_cons|const,hfri_fof_cons|growth,hfri_fof_cons|term,hfri_fof_cons|inflation,hfri_fof_cons|credit,hfri_fof_cons|r2,hfri_fof_cons|n,msci_gpfi|const,msci_gpfi|growth,msci_gpfi|term,msci_gpfi|inflation,msci_gpfi|credit,msci_gpfi|r2,msci_gpfi|n,re_noncore|const,re_noncore|growth,re_noncore|term,re_noncore|inflation,re_noncore|credit,re_noncore|r2,re_noncore|n,gl1|const,gl1|growth,gl1|term,gl1|inflation,gl1|credit,gl1|r2,gl1|n,gl2|const,gl2|growth,gl2|term,gl2|inflation,gl2|credit,gl2|r2,gl2|n,epra_nareit|const,epra_nareit|growth,epra_nareit|term,epra_nareit|inflation,epra_nareit|credit,epra_nareit|r2,epra_nareit|n,infra_core|const,infra_core|growth,infra_core|term,infra_core|inflation,infra_core|credit,infra_core|r2,infra_core|n,ftse_fi_infra|const,ftse_fi_infra|growth,ftse_fi_infra|term,ftse_fi_infra|inflation,ftse_fi_infra|credit,ftse_fi_infra|r2,ftse_fi_infra|n
2010-03-31,0.028321,0.96651,-0.55763,0.50578,-1.0218,0.69163,16,0.024823,0.67738,-1.2981,0.51448,-1.076,0.52605,16,0.020103,0.93668,-0.17105,1.2584,-1.8567,0.79508,16,-0.00019773,0.793,0.61627,1.7586,-1.0558,0.76593,16,,,,,,,,0.035501,0.24434,-0.39923,0.32542,1.4466,0.94074,16,0.051945,0.66548,-1.2923,0.31182,-0.35273,0.67578,16,-0.00047918,0.32238,0.1024,0.52529,-0.25416,0.87672,16,,,,,,,,-0.037071,1.7375,0.51373,2.291,-3.2011,0.44859,16,,,,,,,,,,,,,,,-0.0035721,1.4161,-0.23921,-0.5953,0.034738,0.85346,16,,,,,,,,,,,,,,
2010-06-30,0.027995,0.82554,-0.14564,0.68381,-0.73951,0.6457,17,0.024424,0.50441,-0.7926,0.73292,-0.7296,0.46547,17,0.019716,0.76931,0.31809,1.4697,-1.5215,0.68911,17,-0.00035176,0.72634,0.81109,1.8428,-0.92232,0.75694,17,,,,,,,,0.035421,0.20964,-0.29782,0.36924,1.5161,0.93999,17,0.051582,0.50858,-0.83381,0.50997,-0.038524,0.63607,17,-0.00057116,0.28258,0.21873,0.57556,-0.17444,0.85222,17,,,,,,,,-0.037923,1.3689,1.591,2.7566,-2.4629,0.35333,17,,,,,,,,,,,,,,,-0.0038298,1.3045,0.086784,-0.45443,0.25813,0.84215,17,,,,,,,,,,,,,,
2010-09-30,0.027971,0.81604,-0.15687,0.68281,-0.72989,0.65741,18,0.024733,0.62479,-0.65022,0.7456,-0.85153,0.47067,18,0.019725,0.7727,0.3221,1.4701,-1.525,0.69977,18,2.9509e-05,0.87482,0.98671,1.8584,-1.0727,0.75724,18,,,,,,,,0.035458,0.22416,-0.28065,0.37077,1.5013,0.94033,18,0.051938,0.64689,-0.67023,0.52454,-0.17862,0.63698,18,-0.0006156,0.26527,0.19827,0.57374,-0.15691,0.8513,18,,,,,,,,-0.038073,1.3101,1.5215,2.7504,-2.4034,0.36257,18,,,,,,,,,,,,,,,-0.0038976,1.2781,0.05555,-0.45721,0.28488,0.85277,18,-0.017365,0.39795,1.0244,0.93503,-0.3167,0.57312,16,,,,,,,
2010-12-31,0.023799,0.79422,-0.02916,0.71822,-0.66347,0.65523,19,0.028103,0.64242,-0.7534,0.71699,-0.9052,0.50829,19,0.021488,0.78192,0.26812,1.4551,-1.553,0.71865,19,-0.00030181,0.87309,0.99685,1.8612,-1.0675,0.7629,19,,,,,,,,0.031105,0.20139,-0.14738,0.40771,1.5707,0.93587,19,0.048124,0.62694,-0.5535,0.5569,-0.11791,0.64041,19,-0.0014707,0.2608,0.22444,0.58099,-0.1433,0.85213,19,,,,,,,,-0.033387,1.3346,1.3781,2.7106,-2.478,0.37785,19,,,,,,,,,,,,,,,-0.0069609,1.2621,0.14932,-0.43122,0.33365,0.852,19,-0.016182,0.40332,0.98935,0.92538,-0.33421,0.57305,17,,,,,,,
2011-03-31,0.023203,0.79261,-0.029661,0.70853,-0.65778,0.6557,20,0.022425,0.62707,-0.75818,0.62462,-0.85097,0.4714,20,0.018233,0.77312,0.26538,1.4022,-1.5219,0.69147,20,-0.0031784,0.86532,0.99443,1.8144,-1.04,0.74782,20,,,,,,,,0.029984,0.19837,-0.14833,0.38949,1.5814,0.93445,20,0.041256,0.60838,-0.55928,0.44517,-0.05232,0.59336,20,-0.0019839,0.25941,0.22401,0.57264,-0.1384,0.84918,20,,,,,,,,-0.036168,1.3271,1.3758,2.6654,-2.4514,0.37341,20,,,,,,,,,,,,,,,-0.007586,1.2604,0.14879,-0.44138,0.33962,0.85178,20,-0.013817,0.40928,0.9907,0.96,-0.35528,0.5662,18,,,,,,,
2011-06-30,0.017704,0.81208,0.13825,0.78514,-0.65046,0.67203,20,0.032184,0.6181,-0.64836,0.79688,-0.90883,0.4616,20,0.014263,0.78604,0.36841,1.4437,-1.5147,0.70425,20,-0.0067542,0.87729,1.0926,1.8559,-1.034,0.75769,20,,,,,,,,0.025311,0.20888,-0.10188,0.38185,1.5982,0.9428,20,0.042117,0.60503,-0.59048,0.42946,-0.052925,0.59439,20,-0.0026029,0.25918,0.20428,0.55207,-0.13332,0.8449,20,,,,,,,,-0.042748,1.3495,1.5619,2.7459,-2.441,0.38218,20,,,,,,,,,,,,,,,-0.0088491,1.2683,0.24096,-0.38328,0.3354,0.85097,20,-0.013693,0.41031,1.0068,0.97267,-0.35753,0.57045,19,,,,,,,
2011-09-30,0.018222,0.8396,0.16904,0.78375,-0.67043,0.713,20,0.031871,0.60233,-0.67104,0.79585,-0.89831,0.5068,20,0.014094,0.72684,0.59766,1.5541,-1.4174,0.67619,20,-0.006268,0.92216,1.0308,1.813,-1.0871,0.78279,20,,,,,,,,0.025589,0.22938,-0.11275,0.36853,1.5771,0.94817,20,0.04275,0.61375,-0.43407,0.48229,-0.032314,0.62891,20,-0.0026162,0.24929,0.24727,0.57221,-0.11621,0.84897,20,,,,,,,,-0.042996,1.2834,1.7996,2.8624,-2.3358,0.37683,20,,,,,,,,,,,,,,,-0.0093374,1.2291,0.27485,-0.35307,0.37809,0.85926,20,-0.013462,0.47841,0.75445,0.84989,-0.46729,0.57049,20,,,,,,,
2011-12-31,0.00095974,0.68073,0.6895,1.3946,-0.49978,0.85784,20,0.016687,0.46537,-0.19908,1.3494,-0.75419,0.5552,20,0.0012942,0.59041,0.88874,1.8986,-1.2509,0.74409,20,-0.015707,0.83054,1.2913,2.1194,-0.98365,0.82197,20,,,,,,,,0.022366,0.21044,0.038966,0.54493,1.5859,0.95176,20,0.032092,0.50283,-0.17807,0.78477,0.10058,0.63584,20,-0.0064122,0.20644,0.32145,0.66051,-0.06171,0.86606,20,,,,,,,,-0.079369,0.94563,2.8811,4.1323,-1.9698,0.54015,20,,,,,,,,,,,,,,,-0.012237,1.1993,0.34631,-0.2687,0.41349,0.85676,20,-0.0090107,0.51276,0.58658,0.65388,-0.49711,0.60453,20,,,,,,,
2012-03-31,0.0024244,0.68696,0.70804,1.4202,-0.5239,0.87294,20,0.024543,0.50698,-0.1877,1.4004,-0.85024,0.63679,20,0.001723,0.58925,0.92623,1.9375,-1.2701,0.75767,20,-0.014222,0.83793,1.2985,2.134,-1.0037,0.83148,20,,,,,,,,0.019755,0.19289,0.075154,0.56709,1.6027,0.94949,20,0.031347,0.49377,-0.12419,0.83372,0.088912,0.63895,20,-0.0077576,0.19915,0.32121,0.65344,-0.045907,0.8858,20,-0.043046,0.84977,2.2692,2.3006,-0.4655,0.75311,16,-0.079936,0.94065,2.9015,4.1494,-1.9709,0.54007,20,,,,,,,,,,,,,,,-0.014431,1.1875,0.34528,-0.28085,0.4395,0.86416,20,-0.0052938,0.53756,0.537,0.62423,-0.52177,0.61622,20,,,,,,,
2012-06-30,-0.0077545,0.61844,0.95227,1.5811,-0.35829,0.91797,20,0.010166,0.43084,0.089205,1.588,-0.66001,0.6592,20,-0.0019801,0.54795,1.069,2.0275,-1.1752,0.75852,20,-0.020232,0.80414,1.4207,2.2162,-0.92003,0.83968,20,,,,,,,,0.016847,0.1714,0.15124,0.61675,1.6541,0.95178,20,0.012351,0.3746,0.30289,1.1173,0.37954,0.69476,20,-0.010562,0.17863,0.39391,0.70093,0.0031923,0.90738,20,-0.043268,0.85135,2.2514,2.2877,-0.46657,0.7534,17,-0.077804,0.92815,2.9388,4.1673,-1.9488,0.53597,20,,,,,,,,,,,,,,,0.0013488,1.2588,0.08146,-0.46336,0.25645,0.88633,20,-0.0053547,0.53202,0.55534,0.63504,-0.50994,0.61198,20,,,,,,,
