date,buyout|growth,buyout|term,buyout|inflation,buyout|credit,buyout|n,vc|growth,vc|term,vc|inflation,vc|credit,vc|n,fof_secondary|growth,fof_secondary|term,fof_secondary|inflation,fof_secondary|credit,fof_secondary|n,fof_primary|growth,fof_primary|term,fof_primary|inflation,fof_primary|credit,fof_primary|n,senior_loan|growth,senior_loan|term,senior_loan|inflation,senior_loan|credit,senior_loan|n,mezzanine|growth,mezzanine|term,mezzanine|inflation,mezzanine|credit,mezzanine|n,apac_equity|growth,apac_equity|term,apac_equity|inflation,apac_equity|credit,apac_equity|n,hfri_fof_cons|growth,hfri_fof_cons|term,hfri_fof_cons|inflation,hfri_fof_cons|credit,hfri_fof_cons|n,msci_gpfi|growth,msci_gpfi|term,msci_gpfi|inflation,msci_gpfi|credit,msci_gpfi|n,re_noncore|growth,re_noncore|term,re_noncore|inflation,re_noncore|credit,re_noncore|n,gl1|growth,gl1|term,gl1|inflation,gl1|credit,gl1|n,gl2|growth,gl2|term,gl2|inflation,gl2|credit,gl2|n,epra_nareit|growth,epra_nareit|term,epra_nareit|inflation,epra_nareit|credit,epra_nareit|n,infra_core|growth,infra_core|term,infra_core|inflation,infra_core|credit,infra_core|n,ftse_fi_infra|growth,ftse_fi_infra|term,ftse_fi_infra|inflation,ftse_fi_infra|credit,ftse_fi_infra|n
2010-03-31,0.88334,-1.3773,0.97742,-0.025195,16,0.39021,-0.95153,0.37335,-0.53634,16,0.53318,-1.65,1.8396,-1.0223,16,0.70021,-1.0905,2.1259,-0.31186,16,,,,,,-0.054972,-1.0484,0.67455,2.6152,16,0.86334,-1.6886,0.44079,0.61351,16,0.31943,-0.36592,0.52529,-0.02065,16,,,,,,0.89904,-0.9005,2.513,-3.4727,16,,,,,,,,,,,1.3295,0.3052,-0.5953,-0.038916,16,,,,,,,,,,
2010-06-30,0.84561,-1.0687,1.1569,0.10426,17,0.36875,-0.71813,0.52056,-0.43008,17,0.49107,-1.2184,2.0757,-0.8156,17,0.67373,-0.83803,2.2311,-0.20263,17,,,,,,-0.0068892,-1.0103,0.67928,2.6279,17,0.82399,-1.3867,0.63255,0.70844,17,0.30571,-0.26789,0.57556,0.027119,17,,,,,,0.76938,-0.50779,2.9369,-2.6405,17,,,,,,,,,,,1.2805,0.42084,-0.45443,0.17674,17,,,,,,,,,,
2010-09-30,0.84946,-0.97845,1.1652,0.078567,18,0.3779,-0.67542,0.5245,-0.42279,18,0.49842,-1.1757,2.0792,-0.76247,18,0.71398,-0.68102,2.2455,-0.34074,18,,,,,,0.02533,-0.90736,0.68897,2.6343,18,0.84889,-1.1701,0.65319,0.53904,18,0.29292,-0.28482,0.57374,0.074797,18,,,,,,0.7717,-0.43633,2.9275,-2.5925,18,,,,,,,,,,,1.2808,0.3699,-0.45721,0.20444,18,0.28,1.0649,0.11767,-0.3167,16,,,,,
2010-12-31,0.84677,-0.82866,1.2086,0.084379,19,0.40293,-0.76013,0.48951,-0.48032,19,0.52126,-1.1647,2.0648,-0.81075,19,0.71872,-0.61357,2.2499,-0.34874,19,,,,,,0.018994,-0.76099,0.73537,2.6316,19,0.85188,-1.0533,0.68929,0.52559,19,0.29312,-0.25047,0.58099,0.073462,19,,,,,,0.80035,-0.56692,2.7749,-2.6637,19,,,,,,,,,,,1.2649,0.4303,-0.43122,0.24992,19,0.27741,1.0016,0.10677,-0.33421,17,,,,,
2011-03-31,0.84616,-0.81802,1.1865,0.084673,20,0.39773,-0.72697,0.44312,-0.47773,20,0.51374,-1.116,1.9874,-0.807,20,0.71538,-0.59108,2.2052,-0.34707,20,,,,,,0.016136,-0.74213,0.70583,2.6279,20,0.83587,-0.96451,0.56934,0.53342,20,0.2929,-0.24712,0.57264,0.073564,20,,,,,,0.79448,-0.53765,2.7238,-2.6184,20,,,,,,,,,,,1.2619,0.43966,-0.44138,0.25512,20,0.28358,1.0039,0.13583,-0.35528,18,,,,,
2011-06-30,0.85365,-0.68462,1.2732,0.054143,20,0.39155,-0.718,0.56534,-0.49278,20,0.51772,-1.0495,2.0142,-0.82526,20,0.71869,-0.5041,2.2456,-0.36926,20,,,,,,0.037469,-0.61036,0.73492,2.6412,20,0.83775,-0.98229,0.54722,0.53514,20,0.2941,-0.2462,0.55207,0.073575,20,,,,,,0.80299,-0.35564,2.8333,-2.5973,20,,,,,,,,,,,1.2614,0.4782,-0.38328,0.26231,20,0.2824,1.0237,0.13732,-0.35753,19,,,,,
2011-09-30,0.8174,-0.43575,1.4041,0.082794,20,0.38136,-0.60743,0.641,-0.47536,20,0.47561,-0.81111,2.1558,-0.75679,20,0.67863,-0.30126,2.3363,-0.31446,20,,,,,,0.054149,-0.49692,0.77839,2.6455,20,0.83051,-0.78932,0.64856,0.50668,20,0.28648,-0.20307,0.57221,0.08116,20,,,,,,0.74582,-0.23455,2.8874,-2.4747,20,,,,,,,,,,,1.2227,0.48014,-0.35307,0.29979,20,0.32232,0.74169,0.1575,-0.46729,20,,,,,
2011-12-31,0.74278,-0.39918,2.1654,0.41591,20,0.35384,-0.59525,0.90918,-0.36137,20,0.43588,-0.80071,2.5507,-0.59943,20,0.64945,-0.29526,2.6717,-0.19661,20,,,,,,0.051494,-0.47978,1.0765,2.6503,20,0.79121,-0.77739,0.94271,0.68355,20,0.27691,-0.20154,0.66051,0.12243,20,,,,,,0.62794,-0.29353,4.6173,-2.0067,20,,,,,,,,,,,1.2092,0.46998,-0.2687,0.36769,20,0.34281,0.59577,0.064886,-0.49711,20,,,,,
2012-03-31,0.73381,-0.39076,2.2095,0.39308,20,0.35888,-0.60125,0.93064,-0.38829,20,0.42178,-0.77942,2.5983,-0.60692,20,0.63445,-0.27481,2.7003,-0.19226,20,,,,,,0.025589,-0.45122,1.1134,2.6197,20,0.77116,-0.75096,1.0017,0.68105,20,0.27276,-0.19332,0.65344,0.13721,20,0.8729,-1.116,2.8164,-0.23841,16,0.61452,-0.27886,4.6153,-2.019,20,,,,,,,,,,,1.2027,0.47308,-0.28085,0.39011,20,0.36059,0.54278,0.065675,-0.52177,20,,,,,
2012-06-30,0.70317,-0.23195,2.4749,0.5956,20,0.34301,-0.53755,1.0401,-0.28825,20,0.4068,-0.74672,2.6971,-0.54758,20,0.61752,-0.2074,2.8511,-0.10808,20,,,,,,-0.02145,-0.39363,1.2147,2.6163,20,0.73517,-0.54364,1.3148,0.96785,20,0.26822,-0.17012,0.70093,0.17236,20,0.8695,-1.0788,2.8455,-0.23606,17,0.61289,-0.29098,4.7333,-2.0004,20,,,,,,,,,,,1.2194,0.40565,-0.46336,0.18864,20,0.35806,0.59002,0.065774,-0.50994,20,,,,,
