date,buyout,vc,fof_secondary,fof_primary,mezzanine,apac_equity,msci_gpfi,re_noncore
2000-03-31,,,,,,,,
2000-06-30,0.0000,0.5035,,0.4348,0.0000,0.0000,,0.1761
2000-09-30,0.0000,0.4786,,0.3682,0.0000,0.0000,,0.1594
2000-12-31,0.0000,0.4781,,0.3870,0.0000,0.0000,,0.1608
2001-03-31,0.0763,0.4809,,0.4312,0.0000,0.1111,,0.1612
2001-06-30,0.2364,0.4872,,0.5914,0.0000,0.5424,,0.1474
2001-09-30,0.1992,0.5032,,0.4174,0.0000,0.6659,,0.1141
2001-12-31,0.2058,0.5119,,0.4316,0.0000,0.5626,,0.1110
2002-03-31,0.2131,0.5361,,0.4640,0.0000,0.5684,,0.0937
2002-06-30,0.2461,0.5653,0.3405,0.5716,0.0000,0.6033,,0.0000
2002-09-30,0.1670,0.5535,0.1673,0.4382,0.0000,0.5600,,0.0000
2002-12-31,0.2070,0.5506,0.1504,0.4247,0.0000,0.5785,,0.0000
2003-03-31,0.2230,0.4525,0.1602,0.4476,0.0000,0.5712,,0.0000
2003-06-30,0.2187,0.8063,0.2074,0.5546,0.0000,0.5265,,0.0888
2003-09-30,0.1540,0.8197,0.1378,0.5396,0.0000,0.5073,,0.0491
2003-12-31,0.1730,0.7920,0.1318,0.5449,0.0000,0.5010,,0.0453
2004-03-31,0.1358,0.7396,0.1301,0.5186,0.0000,0.4848,,0.0082
2004-06-30,0.0235,0.8387,0.1222,0.4725,0.0000,0.4070,,0.0000
2004-09-30,0.0000,0.7058,0.1019,0.4754,0.0000,0.3949,,0.1467
2004-12-31,0.0000,0.6199,0.0891,0.4304,0.0000,0.3689,,0.1129
2005-03-31,0.0000,0.4932,0.0470,0.3298,0.0000,0.2201,,0.0680
2005-06-30,0.0000,0.2882,0.0000,0.1342,0.0000,0.1809,,0.0580
2005-09-30,0.0000,0.0610,0.0000,0.0000,0.2556,0.0054,,0.0523
2005-12-31,0.0000,0.0024,0.0000,0.0000,0.2837,0.2017,,0.0812
2006-03-31,0.0000,0.0000,0.0000,0.0375,0.2618,0.3521,,0.2506
2006-06-30,0.5050,0.3708,0.3156,0.6768,0.8086,0.5375,,0.7780
2006-09-30,0.4790,0.3431,0.4000,0.5865,0.5410,0.3669,,0.6044
2006-12-31,0.4448,0.3319,0.4271,0.5937,0.3822,0.3689,,0.6465
2007-03-31,0.4526,0.3505,0.4138,0.5731,0.4638,0.3672,,0.6202
2007-06-30,0.4678,0.3131,0.3920,0.5735,0.4478,0.3841,,0.6488
2007-09-30,0.5446,0.3413,0.4872,0.6577,0.4618,0.3869,,0.6569
2007-12-31,0.5613,0.3543,0.5004,0.6654,0.4532,0.3878,,0.6509
2008-03-31,0.5464,0.3311,0.4847,0.6356,0.4465,0.3723,,0.6512
2008-06-30,0.5444,0.3846,0.4595,0.6331,0.4526,0.4120,0.6709,0.6401
2008-09-30,0.5510,0.3672,0.5277,0.6663,0.4559,0.4068,0.6896,0.6734
2008-12-31,0.5459,0.4050,0.5333,0.6689,0.4487,0.4090,0.7079,0.6751
2009-03-31,0.5314,0.3479,0.5274,0.6355,0.4642,0.4234,0.6740,0.6640
2009-06-30,0.4771,0.3438,0.5103,0.6063,0.4173,0.4341,0.6754,0.6312
2009-09-30,0.5418,0.4140,0.5487,0.6100,0.4198,0.4413,0.6826,0.6316
2009-12-31,0.4935,0.3927,0.5377,0.5807,0.4064,0.4228,0.6762,0.6373
2010-03-31,0.5214,0.4178,0.5062,0.5683,0.4128,0.4073,0.6813,0.6569
2010-06-30,0.5239,0.4077,0.5051,0.5509,0.4054,0.3813,0.6817,0.6635
2010-09-30,0.5301,0.4477,0.5071,0.5765,0.3945,0.4734,0.6806,0.6618
2010-12-31,0.5293,0.4570,0.5049,0.5777,0.4062,0.4516,0.6802,0.6750
2011-03-31,0.4981,0.4829,0.4903,0.5599,0.4204,0.3931,0.6939,0.6744
2011-06-30,0.2527,0.3950,0.3397,0.3649,0.2503,0.2023,0.5304,0.5544
2011-09-30,0.0000,0.2786,0.2902,0.2421,0.1778,0.1649,0.3098,0.6063
2011-12-31,0.0359,0.2499,0.1063,0.1284,0.4042,0.2622,0.2904,0.4552
2012-03-31,0.0000,0.2287,0.0735,0.1323,0.1836,0.2390,0.1393,0.4540
2012-06-30,0.0000,0.2085,0.1287,0.0855,0.0815,0.1719,0.0737,0.1964
2012-09-30,0.0000,0.1840,0.2351,0.1010,0.0546,0.1910,0.0641,0.1187
2012-12-31,0.0000,0.1055,0.1413,0.0209,0.1070,0.2009,0.0000,0.1183
2013-03-31,0.0000,0.0923,0.1103,0.0905,0.1769,0.1985,0.0883,0.1271
2013-06-30,0.0000,0.1259,0.0058,0.0000,0.2017,0.0000,0.0000,0.0034
2013-09-30,0.0000,0.2070,0.0000,0.0000,0.1566,0.0000,0.0000,0.0000
2013-12-31,0.0000,0.2661,0.0063,0.0000,0.1683,0.0000,0.0000,0.0000
2014-03-31,0.0000,0.3489,0.0564,0.0000,0.1548,0.0000,0.0000,0.0000
2014-06-30,0.0000,0.3685,0.0448,0.0000,0.4254,0.0000,0.0000,0.0241
2014-09-30,0.0000,0.3638,0.0460,0.0000,0.3778,0.0000,0.0000,0.0364
2014-12-31,0.0304,0.4053,0.0493,0.0000,0.5184,0.0000,0.0000,0.0116
2015-03-31,0.0763,0.3761,0.0991,0.0000,0.5668,0.0000,0.0000,0.0000
2015-06-30,0.0965,0.3860,0.1787,0.0000,0.5961,0.0000,0.0000,0.0005
2015-09-30,0.0826,0.3884,0.1790,0.0000,0.5654,0.0000,0.0000,0.0063
2015-12-31,0.0766,0.3995,0.1710,0.0000,0.5981,0.0000,0.0000,0.0299
2016-03-31,0.0786,0.4022,0.1823,0.0000,0.5859,0.0000,0.0000,0.0828
2016-06-30,0.0000,0.1844,0.1032,0.0000,0.5352,0.0000,0.0000,0.0815
2016-09-30,0.0000,0.1575,0.1658,0.0000,0.4666,0.0000,0.0000,0.2315
2016-12-31,0.0000,0.2941,0.1605,0.0000,0.4362,0.0000,0.0000,0.2483
2017-03-31,0.0000,0.1331,0.1702,0.0000,0.5324,0.0000,0.0000,0.2579
2017-06-30,0.0000,0.0968,0.1542,0.0000,0.4622,0.0000,0.0000,0.1745
2017-09-30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2017-12-31,0.0000,0.0000,0.1004,0.0000,0.0000,0.0000,0.0000,0.1802
2018-03-31,0.0000,0.1595,0.0355,0.0000,0.0000,0.0000,0.0000,0.1478
2018-06-30,0.0128,0.9133,0.5445,0.5141,0.0000,0.2024,0.0000,0.1823
2018-09-30,0.0982,0.5557,0.3120,0.6523,0.0000,0.1785,0.0000,0.1758
2018-12-31,0.1655,0.5462,0.3515,0.5780,0.0000,0.1633,0.0000,0.1784
2019-03-31,0.1620,0.5393,0.3608,0.5383,0.0000,0.0959,0.0710,0.4241
2019-06-30,0.1625,0.5187,0.3672,0.5293,0.0000,0.1004,0.2185,0.5854
2019-09-30,0.1459,0.5096,0.3323,0.5242,0.0000,0.1414,0.3906,0.5512
2019-12-31,0.2201,0.6340,0.3881,0.5990,0.0000,0.1963,0.3973,0.4841
2020-03-31,0.2813,0.5898,0.4269,0.6346,0.0000,0.2503,0.3426,0.5303
2020-06-30,0.2704,0.6315,0.4286,0.6333,0.0000,0.2369,0.4651,0.5696
2020-09-30,0.2750,0.6104,0.4442,0.6294,0.0000,0.2483,0.4941,0.5804
2020-12-31,0.2784,0.6160,0.4495,0.6375,0.0000,0.2577,0.5380,0.6030
2021-03-31,0.2880,0.6266,0.4581,0.6505,0.0000,0.2701,0.5667,0.6436
2021-06-30,0.2794,0.6261,0.4547,0.6386,0.0000,0.2631,0.6195,0.6784
2021-09-30,0.2970,0.6352,0.4567,0.6533,0.0000,0.2796,0.6101,0.6655
2021-12-31,0.3047,0.6351,0.4665,0.6587,0.0000,0.2910,0.6127,0.6673
2022-03-31,0.3071,0.6481,0.4688,0.6541,0.0000,0.2848,0.6093,0.6648
2022-06-30,0.3209,0.6561,0.4797,0.6635,0.0000,0.2839,0.6256,0.6698
2022-09-30,0.3728,0.6634,0.5146,0.6783,0.0000,0.3102,0.7077,0.7101
2022-12-31,0.7202,0.7151,0.5258,0.7864,0.6358,0.4658,0.7514,0.7744
2023-03-31,0.6681,0.6949,0.5722,0.7712,0.6872,0.4044,0.7604,0.7893
2023-06-30,0.5620,0.5694,0.4690,0.6642,0.6226,0.1752,0.7412,0.7766
2023-09-30,0.5551,0.6164,0.6873,0.5211,0.5108,0.1158,0.7760,0.7931
2023-12-31,0.3524,0.5683,0.5489,0.4408,0.2747,0.0000,0.7612,0.7695
2024-03-31,0.2750,0.5173,0.4495,0.5191,0.2015,0.1066,0.7405,0.6725
2024-06-30,0.0810,0.4735,0.1419,0.4500,0.1166,0.1625,0.6360,0.4700
2024-09-30,0.1848,0.6293,0.3904,0.6786,0.1012,0.2851,0.4837,0.1926
2024-12-31,0.1004,0.4833,0.3300,0.5760,0.1597,0.2310,,0.3347
2025-03-31,0.0000,0.6415,0.0000,0.4335,0.0000,0.0778,,0.3554
2025-06-30,0.0000,0.4967,0.0000,0.4091,0.0553,0.1432,,0.3377
2025-09-30,0.0000,0.6791,0.0000,0.4606,0.0186,0.1431,,0.3574
2025-12-31,0.0000,0.6580,0.0000,0.4483,0.0092,0.1469,,0.3606
2026-03-31,,,,,,,,
