code,n,pacf_sig,p_aic,p_bic,LB4p_afterAR1,rec,theta,sum_theta,vol_mult
buyout,105,"1,2",3,2,0.0077,2,0.29 / 0.23,0.5173,1.8653
vc,105,"1,2",4,1,0.1075,1,0.63,0.6272,2.0391
fof_secondary,97,1,2,1,0.0355,2,0.34 / 0.14,0.4815,1.7717
fof_primary,105,"1,3",3,1,0.0319,3,0.54 / 0.26 / -0.22,0.5888,1.9001
senior_loan,64,4,0,0,0.1165,0,-,0.0000,1.0000
mezzanine,105,1,3,1,0.3056,1,0.30,0.2994,1.3679
apac_equity,105,1,1,1,0.3853,1,0.38,0.3765,1.4925
hfri_fof_cons,105,1,1,0,0.8062,1,0.20,0.1992,1.2128
msci_gpfi,68,1,1,1,0.9187,1,0.64,0.6375,2.1408
re_noncore,105,"1,2,4",4,1,0.0000,4,0.54 / 0.21 / -0.27 / 0.23,0.7159,2.6787
gl1,54,-,0,0,0.9989,0,-,0.0000,1.0000
gl2,54,-,0,0,0.9700,0,-,0.0000,1.0000
epra_nareit,105,-,0,0,0.6620,0,-,0.0000,1.0000
infra_core,78,-,0,0,0.5928,0,-,0.0000,1.0000
ftse_fi_infra,64,-,0,0,0.5042,0,-,0.0000,1.0000
