code,order,theta1,se,vol_mult,ac1_after,LB4_p_after,vol_reported,vol_unsmoothed
buyout,1,0.3532,0.0909,1.4354,-0.0663,0.0077,0.1043,0.1498
vc,1,0.6272,0.0742,2.0391,-0.1258,0.1075,0.1381,0.2816
fof_secondary,1,0.3963,0.0941,1.5297,-0.0554,0.0355,0.0958,0.1465
fof_primary,1,0.5987,0.0785,2.0048,-0.0903,0.0319,0.0922,0.1848
senior_loan,0,,,1.0000,-0.0320,0.1358,0.0456,0.0456
mezzanine,1,0.2994,0.0936,1.3679,0.0449,0.3056,0.1076,0.1471
apac_equity,1,0.3765,0.0908,1.4925,-0.0439,0.3853,0.1180,0.1762
hfri_fof_cons,1,0.1992,0.0948,1.2128,0.0163,0.8062,0.0477,0.0578
msci_gpfi,1,0.6375,0.0941,2.1408,0.0243,0.9187,0.0741,0.1587
re_noncore,1,0.5938,0.0790,1.9900,-0.1324,0.0000,0.1052,0.2094
gl1,0,,,1.0000,0.0788,0.9790,0.0371,0.0371
gl2,0,,,1.0000,-0.0278,0.9605,0.0244,0.0244
epra_nareit,0,,,1.0000,0.0993,0.5111,0.1935,0.1935
infra_core,0,,,1.0000,0.1223,0.2339,0.0822,0.0822
ftse_fi_infra,0,,,1.0000,0.0081,0.4967,0.0773,0.0773
