code,order,theta,sum_theta,vol_mult,ac1_after,vol_reported,vol_unsmoothed
buyout,2,0.29 / 0.23,0.5173,1.8653,0.0273,0.1043,0.1946
vc,2,0.50 / 0.21,0.7081,2.5544,0.0434,0.1381,0.3527
fof_secondary,2,0.34 / 0.14,0.4815,1.7717,0.0158,0.0958,0.1697
fof_primary,2,0.51 / 0.15,0.6615,2.3545,0.0361,0.0922,0.2170
senior_loan,0,-,0.0000,1.0000,0.0000,0.0456,0.0456
mezzanine,1,0.30,0.2994,1.3679,0.0449,0.1076,0.1471
apac_equity,1,0.38,0.3765,1.4925,-0.0439,0.1180,0.1762
hfri_fof_cons,1,0.20,0.1992,1.2128,0.0163,0.0477,0.0578
msci_gpfi,1,0.64,0.6375,2.1408,0.0243,0.0741,0.1587
re_noncore,4,0.54 / 0.21 / -0.27 / 0.23,0.7159,2.6787,0.0659,0.1052,0.2819
gl1,0,-,0.0000,1.0000,0.0000,0.0371,0.0371
gl2,0,-,0.0000,1.0000,0.0000,0.0244,0.0244
epra_nareit,0,-,0.0000,1.0000,0.0000,0.1935,0.1935
infra_core,0,-,0.0000,1.0000,0.0000,0.0822,0.0822
ftse_fi_infra,0,-,0.0000,1.0000,0.0000,0.0773,0.0773
